"graphL1red" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
"1" 0 0.420487800407261 -0.727341086603531 0.481171154560009 -0.733894721023433 0.622239788335581 -0.757828624928373 0.57935046837722 -0.723267829081128 0.0204371312494661 0.0360910607793284 0.00409122278252342 0.0159765458157965 0 0.0425911258928157 0 0.0254581445662249 0 0.0478364642048238 0 0 0 0.00744956542802624 0 0 0 0.0347939821488089 0.129810653242518 0.055362120387231 0.0176282543717543 0.100077781630627 -0.00265406546216913 -0.0064134038551953 0.0122308262058417 0 0.0330016948593644 0.0660214230668358 0 0 0.0499659725114483 -0.013296237156372 0.0432588964869393 0 0.0508676934249519 0.0604165358903955 0 0 0 0 0 0 0.00302831651374397 0.0178239473597112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 0.485455137411772 0 0.503515970013993 -0.71899468508945 0.687214126249147 -0.760699136566842 0.619916620941234 -0.742140816179577 0.662003824397297 0.0434233456372715 0 0.0418861011918696 -0.0228750394372307 0.00988959359015006 0 0.0244183430113873 0 0.0291449734589205 0 0 0.181917521470974 0.0506805238653647 0 0.0282950956155801 0.00743809284511662 0.0259220658424894 0.00288770036001396 0.0367157933852968 0.0627410019944671 0 0 0 0 0.192054771164215 0.0104334391826182 0.0405102007166727 0.0496612938786708 0 0 0.0157861911948148 -0.0195290401876657 0.0733108540746869 0 0.124466646558657 0.0898413689882672 0.0945480926882947 -0.106318590948369 0.0965378207293565 0.0202605597823859 -0.0314767790091425 0.014778185762907 -0.0093826354708218 0.048340379972644 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" -0.735073490966001 0.419624335385388 0 0.479702636922183 -0.743345241211373 0.614613154593949 -0.759179760055784 0.59480711727079 -0.76434387786318 0.0203630012916401 0 0 0 0 0 0.0326996922326101 0 0 0.0515282873694833 0 0.0547332009722079 0 0.0486660175174166 0 0.0531514568734235 0 0.0331288642403779 0.0372644802360444 0.0218656276527432 0 0 0.0951919735851416 0.0981643526366173 0.00590946658455402 0.052302169608829 0 0 0 0 0.0971926005553453 0 0.0756912796545281 0 0.0896004010648303 0.0867544386090564 0 0 0 0 0 0 -0.00470617515378818 0.0604717084837543 -0.000309612956389354 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 0.489302507437577 -0.725573262691943 0.514919856155947 0 0.646185231148751 -0.746739905259917 0.587195819612158 -0.759250115727909 0.642162735759186 0.0175041799076349 0.00327476738540045 0.0154176371575787 0.00463203139094612 0 0 0.00510507610890906 0.0316400126753537 0 0.00398492862098643 0 0.194236816813211 0.00462483669197498 0.0104899641675547 0.0102274287016607 0.0273318563903431 0.0150099631384666 0.0188266984086228 0.0187199435104607 0 0.0244544482372845 0 0.0105360823764397 0.015278849557472 0.0940016626625683 0 0 0 0 0 0.0758704160676343 0 0.109502509616042 0.0531629764644607 0.157143549121775 0.0572054203259301 0.10229188569034 -0.0962332031869502 0.0828803317782335 0.0852441269370814 -0.0860139738958712 0.0843712843020341 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" -0.726130991152277 0.496531015990448 -0.724825384604423 0.503967498446217 0 0.658196415939206 -0.738714572636615 0.625964940938605 -0.767677035237389 0 0.00342274470916924 -0.0111784602349982 0.00529917461368373 0 0 0 0.0366444704424572 0 0.0113902400557419 0.064650720087981 0.00232848232725798 0.06837982778001 0 0.0625818483687223 0.00715592853661468 0.0674851189882327 0 0 -0.00507430624026397 0.0132549799740857 0 0.0906615285221194 0.0815038331708554 0 0 0.0194479624355016 0.0605078165922148 0 0 0 -0.00894661890409299 0.0177252137228995 0.0337154346152001 0 0 0 0 0 0.00826506834200274 0 0 0 0.023688018586735 0.0155991269624047 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" 0.536364600170803 -0.723432913325392 0.544334095418049 -0.709111125108157 0.698023697736829 0 0.64998510161238 -0.721476246708872 0.685660713268062 0 0.0314074401325309 0 0.0155661143772806 0 0.0309038626923657 0 0.0564678595892972 0 0.00278955438232756 0 0.152489995004222 0 0 0.00801861174519186 0 0 0 0.0421807035573934 0 0.0670961480676905 0 0 0 0.121893780258197 0 0.0196502013807415 0 0 0 0 0 0 -0.00335220868493535 0.0513892019269872 0.0155740639948311 0 0.00655431008661069 0 0 0 0 0.0293654824267833 0 0.0443959082447301 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" -0.701256212047354 0.434542297002996 -0.700310490757518 0.458648166136933 -0.684642993502861 0.612029196229382 0 0.571630736340009 -0.69818213823923 0.0218746257805038 0.0329908170437105 0.00454891052077649 0.0523114149350552 0 0.0292264799076773 0.00402186943339774 0.0434739411658423 0.0149039300018861 0 0.000399712226449522 0.0077639511379085 0.0213753277140766 0 0.032005913475487 0 0.0297361014364101 0 0 0 0 0 0.0887340736256986 0.102972438191289 0.0172935787099302 0.0243119989317118 0 0 0.0290382443621641 0.0300978120433774 0 0 0 0 0.0374840578682365 0 0.0839573694984199 -0.0903781766304548 0.0875371423330197 0.0456709973428653 -0.0377110381828819 0.0391752052179282 0 0 -0.02125071033378 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 0.526082290695644 -0.735495951209629 0.565815197012762 -0.754480089871681 0.708019022648935 -0.754106936374156 0.653366016777664 0 0.702551756744559 0.0731069574890885 0 0.0548101445023566 0 0.0439229745502161 0.0233701842936903 0.0647514343244938 0 0.0619789561756397 0 0 0.140557525850993 0 0 0 0 0 0 0.104614167429869 0.00501296058637186 0.0594268788168509 0.0496666624654776 -0.0522611392812725 -0.0556600752718902 0.14063782380354 0 0.0471585720522238 0 0.0695701564432868 0.071321596222412 0.00659307111064159 -0.00262109215086009 0.0652152408642357 0.0125199568943005 0.0888259462083907 0.0421597616104036 0.0202637061949065 -0.00368629851859437 0.0124021716344857 0 0 0 0 0.00936428940306885 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" -0.684186892887043 0.455343663573137 -0.72001806669048 0.48518253936803 -0.731402812593883 0.62947508953437 -0.71755917620454 0.606202906833869 0 0.0522248822219724 0 0.027753240371763 0 0.0584838078267473 0 0.0552019876733691 0 0.027144618823413 0 0.00569626583057991 0 0 0 0 0 0 0 0.0331710201006593 0.00466305065551589 0 0.0701770530215807 0 0 0.0250159610713888 0 0.0586521166753014 0.00785839903566559 0.0140318129088791 0.0319181917389492 0.0296504640647352 0 0.0602941052240171 0.0263129266802802 0 0.043209746333288 0.0125102283611356 -0.022835913588948 0.0256932199257526 -0.0154589674547471 0.0312715437346485 -0.0150908037566885 0.085078590501282 0 0.0663234761469501 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 0 0.0278452932219223 0.00326337302145753 0.0306941029887072 0 0 0 0.0127689263321814 0 0 0.509647139416829 -0.703940599725991 0.418968993091078 -0.70320484960831 0.385546290067079 -0.702825508967083 0.494056162415482 -0.715385200394279 0.0451243284898717 0.0551921018180912 0 0.0348563777390439 0 0.0618138966737004 0.011708639103433 0.0353951880600491 0.0506262641777297 0 0.00963486894907742 0 0 0.0635575786385695 0.0365287507525398 0 0 0 0.0514685971209016 0 0 0.035418383544501 0 0.00318477476467373 0.0605021162063629 0 0 0 0 0 0.0802869944275207 -0.0308033170039038 0.0763835487116458 0 -0.0280775752405379 0.0390484264008286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
