"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"errorsum",82387.2408132163,80485.3668839256,80463.2766934758,80949.5663252011,79856.376001387,79713.924322176,81721.4907587238,80919.3959637852,80868.727270105,81580.2093618869,78531.2383844882,81743.6060717139,81909.0876367497,80080.7792650042,80604.9442863866,79640.1060210447,80821.8433559146,80641.682631392,79981.1424100188,80312.6252376607,79211.1436416677,81009.3144603559,79477.8636055051,81552.9573737043,80424.2642508799,82230.01260673,80177.8563385396,78674.9334007056,82703.7572651447,80225.4588733154,79572.6285548749,81049.0382228131,80464.8525717085,83473.2959283242,81169.739111705,81045.7633500817,80655.1738596798,81195.8904291197,84511.0442167269,80440.6306711297,80577.782853722,79663.7129501436,79814.0193412808,80462.2179838791,80876.3250965239,82721.8798564546,80690.3517644868,79770.5846427015,79696.3466360655,82148.4792224446,81684.6282957073,81016.5611787835,82301.1161363744,82157.6989995594,80187.633956802,79632.3909001089,78995.2901649972,80579.0913540588,80631.6113586242,80033.1725627991,79714.3302370116,81922.0517469682,78318.0507745564,81880.8765597026,82164.5541454307,81512.8499713029,79658.5022132218,78745.1376692003,81562.2985926421,80765.3181017551,78280.6323943581,81492.5893787161,80747.8929270738,81208.7781387922,81629.7527664161,80437.8629696812,81297.7911314521,81370.9888489429,80568.7093468999,82366.4994600668,82078.7376880056,80680.6842470259,80261.0137761873,79252.2449870542,80721.7787321226,80411.1246114316,81551.1605920141,80290.4279721275,79762.100603613,81503.855491157,80938.7630555834,82157.9621688828,81338.8408739467,79928.2281218349,78931.8165858933,83516.2966214626,79479.086116486,80855.4416227883,81886.7055476191,84360.3577861309
"errorsum",80451.7893181073,80975.3766287855,80606.934602917,79861.6721742024,78395.0640475878,80823.0118717578,81023.5317212286,81638.2003808133,81818.2585508397,82090.5851140418,80975.5403794672,79826.2499582481,80339.1226250188,81377.1627558431,81301.0999819237,78908.2864118701,81136.8873843514,79989.2346680851,79849.5372110444,82539.137202678,81118.6863164109,79184.002946743,81353.7554868122,81061.9423470874,79740.6407100017,82698.7423447084,80627.438249962,80013.4350322164,82081.1278490921,81407.0860470506,79496.7064743509,80192.2234868316,82114.4874730537,82298.2643836526,81469.1965119252,80747.0969331533,79651.7457304545,82502.1850452696,81347.6513748686,81703.8977672133,80163.5808627354,81355.7633708071,81094.6787832005,79760.9177362553,78864.7594495667,81947.7991451081,82189.3078093901,79563.4703351305,80142.3371188712,81371.181073903,82381.6684402177,81235.6672649632,80163.2450256874,82078.1132030999,80456.0005651112,82929.7629114093,81429.0684016072,81181.1986766597,80693.6596081297,79109.4438431153,81698.6890890418,82464.6960439306,81766.4294448714,78688.7812449594,80585.741660448,80838.5306617803,78839.4541982835,83046.2096428837,79279.9810882646,79308.0887870923,80898.8460893568,82688.2657677643,80448.2833874961,80607.4600364676,81325.1549594301,78835.8962592491,80820.4025269795,81588.6890618844,77609.8800996099,81082.3842078803,81067.5684874569,78968.6431916997,82077.8193500087,79191.0203952623,78884.1174230961,79566.7982496553,79632.6760038242,82076.4015581538,80964.2638080365,80843.8037579144,78446.1849380256,81013.2726577766,78353.3561770656,82116.9679369604,81429.1209099609,83464.8993160251,81137.5670474201,81304.9187155973,81110.0892323436,81094.5605769799
"errorsum",80169.8250948007,81530.6962732899,81578.1479600384,80504.2089786813,81014.7446739545,80258.9890183012,78430.3547787341,80151.0439094924,81285.4517707039,79998.0242611545,79233.5748284653,79919.2637600711,79883.3962282916,83430.2475248143,81554.9340337647,79259.4187543671,78621.2406789923,78944.2371734378,79090.1095361254,81768.5963198627,81872.0716803016,82361.7031792276,81501.1016334178,80801.5223304863,82303.2834900161,77701.9881855933,81066.9358313971,83075.395304539,80440.7149089928,80097.7010154072,82924.633668032,80911.6762763964,80072.6345637871,80877.9939846787,81254.8090387034,78693.9000611748,79574.4296947484,81433.4815307494,79930.276115415,80357.5826895323,79645.4997330459,80885.0875121856,82424.8540069704,78328.0142683938,79904.1855349233,78439.4676517864,80165.790426328,82623.8605100247,82166.8224936985,81459.8849487248,81212.0757958784,80409.0038873734,81377.9226962569,81280.1612347577,80495.0716270648,81047.1700911297,80591.1476583617,83007.4461688941,81441.197600982,81112.4291067014,81858.9179052547,80763.0180686568,81191.1837472022,81233.500039598,81712.7867045066,79951.245505841,81750.7966850161,77548.6707584523,80120.9634995177,81243.8762708773,80707.7978316192,80473.6335246951,79219.602924634,80708.1202437364,80624.9914271332,81521.8623605738,80213.743423109,79068.9934733961,80309.712184805,81766.5292279172,80386.2468979818,82554.4054821824,80995.4738850017,80720.9259527278,77760.7768931448,80358.7919771075,80437.6884913178,82963.5903032197,79632.4223067777,81223.4726595748,81298.7071161529,78397.0442286139,80228.1995663792,81282.5800553672,78797.1453506904,81064.2267492202,79668.5334045208,82227.7654599761,81704.6313425267,81737.6473393438
"errorsum",79157.5585351873,80003.5940377884,79993.6663136278,82615.2951701505,82820.2463132407,79799.6007205781,82101.7826898097,78916.2486719589,77530.7057931738,82205.2216171588,82471.3470859117,82578.7284000775,78930.7847457777,82187.3029284355,78852.8380728743,80426.3400442222,80906.5043184843,80222.9065801558,80076.3778920145,80612.3258522034,80849.3478376985,82138.7355017476,80244.0195873082,82529.7303492642,83092.9900472095,79549.9902539386,78755.3708320504,82097.0223203452,82193.0386303698,82377.0768320504,78631.145898392,81136.5449366522,80401.3383626125,80654.7023681533,79947.7457793088,80649.1598435908,80372.8529331756,82868.0289842605,79880.8643305422,81833.7156807721,81806.2951635768,81097.7425575253,81307.6413030264,80888.5396924775,79755.3131436557,80045.3032127904,81384.1784079244,80719.0258221159,81033.2675301055,79935.1165313463,82255.0854971494,81197.6906015523,80694.1572677166,80189.6397646267,81459.88236543,81230.6268948907,79775.5252950164,79955.6606974632,80414.4655953291,80027.7524296754,80885.8819734365,80928.804539327,82742.2927946861,84013.9247947413,80427.4040446343,80800.3138735099,79738.6062746709,81721.2966500393,82880.2531528762,79007.1466388542,82549.139538293,81318.0260098808,81134.6383836802,80613.4612974507,80114.8221276994,80229.358680989,81033.8171606391,80403.7323641461,80303.3277435355,79675.4994663186,78750.650300797,81839.5812728262,84033.267594883,82544.501860676,83261.8443729392,82407.7554473248,81614.6027432012,80301.9843766121,81223.6566911564,78965.734927136,80914.8465863692,81442.888580076,83098.6691886702,82344.0883830146,80344.9962039033,81815.184075456,79028.2848896983,80733.2054340595,81144.6434507803,80484.23757834
"errorsum",81149.3114250795,81001.0632046989,81695.559496066,78143.9105865705,82494.9571191105,81167.8295831232,79786.1602542062,79616.1510434453,80503.6515371388,81721.2174647678,82570.0696074463,78461.0833301697,81537.2085754545,81596.0023641433,80016.2661546042,80671.594441131,82565.7540326319,81154.8677048927,82547.3836832362,79092.8517396844,80980.5694148253,80266.1952578944,80543.2698199353,80304.455659847,80258.9931704833,80823.6887142926,78140.3573332839,79944.5393500291,80970.1808735436,81823.3191490248,80095.4833628257,81999.423765267,80428.6262554693,79408.8091474498,81247.5638774342,78218.6749715431,81376.2264857809,82204.21858532,78395.7850052772,80418.717624492,80843.2599446949,80678.7902401712,80717.8090719595,79524.0847205827,80651.0861245603,81812.7214723932,81155.1929693557,79081.740132053,82478.0038265872,83504.9994220627,78856.6305849546,82734.0670800364,80558.8302214427,79997.8813431267,81136.5589823797,80504.6696618373,80054.2434586576,79953.0562394801,78910.2386689375,80055.7574662642,80663.2619375042,80213.8110209664,83398.5070261943,80201.727329527,83438.7963838702,81585.7059049675,81894.7503365843,80056.1614956739,79699.9337114344,81643.6036148525,81108.1317193523,79439.0547820051,78235.8929174437,78003.2199378127,81113.0066784784,82688.5881354275,81063.2744835988,81989.6348151077,80210.1995826626,80069.0965637896,79786.4326035518,80664.0424979356,82252.3934125825,80137.8798324669,81290.5674477299,81049.2934009428,79679.667721919,80445.6807850993,80796.3589401439,80764.8735953446,80461.8142460151,81101.95467275,80387.6069997756,81291.8595791302,79445.6264168422,80029.7986284104,77835.2118263289,80944.6390453191,80791.5582431945,79701.5218376756
"errorsum",82077.8249608743,81334.4232239872,80691.2905763389,81049.6429589827,79383.2694695179,80509.2153019442,80393.8958644423,81260.6396069778,82271.2034784837,81852.2374652274,81344.1442339513,82542.6827013255,81372.9225882608,81003.7518497839,78386.5729091676,81925.2871778144,82484.4416080655,78905.7528636996,78713.9175805466,80752.3098732187,80801.9233404077,81008.2041394168,80671.7870682851,80402.3878034764,81886.1591513004,81126.5464473316,79795.5224603587,80636.5362439743,80664.2313158038,82314.5432138158,80089.6269857082,82953.9954823094,81435.6422475954,79608.2890408676,80999.9325744491,81483.168895104,79158.9945163752,80610.7595435164,80495.7814649683,81486.3800821615,81129.2019305247,80708.9206312836,82047.6798999409,80029.2753925907,79527.1791310754,78815.6888730598,79509.4045198247,80546.4151650465,80659.6303089736,78770.3742609619,81269.4676101348,79872.389749047,79250.7390172732,79825.8325572226,79271.0788335049,81634.4727485668,79627.0719703212,81096.749709111,81167.3948935753,81439.2699375308,82218.8415585253,81370.813373506,80093.3406487873,81446.1970337062,80323.7809633992,79504.4440284633,81868.0959124815,80271.0157449081,80519.7797366397,82154.9111680031,80866.6880494126,80601.7242722552,80745.7395461517,79026.6753819877,81617.0966336247,79798.3971695754,81344.3280077354,80106.3021346681,81937.2560192348,79363.4343188123,80254.9622128221,81928.7167820432,81612.8718243827,81728.3641392312,79908.406408125,81291.6111315191,81682.3874594255,79759.0372942871,80744.3668401526,83204.1537853547,81154.834469375,80887.7157486376,81770.2123076295,81429.5047853195,79276.9253240211,79835.410378736,80415.3629393644,79212.6119075625,80433.6797163491,78503.2448976173
"errorsum",81226.9498268958,81759.7749171131,80088.6242148278,78323.5284940885,81569.095241508,80439.6367940266,82598.0326914548,78875.8162667913,80977.1160720008,82400.2798122549,80522.5369306011,81469.7062483702,78380.4443147928,80269.8437859991,79607.4816159205,78410.7499868156,82294.9562313026,80083.2777617667,79647.5378161423,80097.0632033308,80333.1442446928,81016.4722708886,79838.1338155523,80354.4577401788,79680.5217864206,77960.5821881702,80352.7851161064,81761.9367826763,81497.8593881184,79768.2017574635,80915.3923660742,81402.3509298982,80077.3151326036,82184.2300752873,79813.3189522866,82313.637162282,79368.3127398979,80929.829317897,80537.7614973274,81527.3561888259,79025.0482188373,79854.7984120027,82497.3385831487,79774.6990474951,80576.2937739725,81816.535664544,80979.4656800168,80498.4809271276,80712.5384794491,81698.2494615929,80054.314273995,81119.2557244441,78718.9365139369,80781.1490950217,82865.9978597599,79935.8121762457,81475.7699990719,78777.8516844273,80892.8254289975,83984.7382356008,79042.4115491838,80250.8600817121,79927.2849897302,83510.1199647641,82273.0076554805,80542.3691019788,81535.8298347571,81976.1715118006,79124.3639452835,81608.2607199449,80837.8826692778,82252.8258471823,80818.4768999066,79294.2865339972,80589.2754684815,78901.0173866611,80430.8596577951,81454.0260572659,79149.5116067301,81755.9533321239,79901.8581847825,81331.3197057868,79707.0347546414,80079.2496059654,79497.1072001192,80964.4119305833,79773.6421918636,81310.4221939073,81072.7008373398,79791.7760115663,82491.8819394108,81895.6914685376,80986.0993305977,79887.8927406342,82025.9119906703,79655.9354214178,79915.1831669916,78591.6901167936,81874.7316030651,83696.5991823316
"errorsum",81503.9912293584,78899.7746244562,79073.9363233177,80222.1055177412,80855.7162816036,81406.6562260079,77672.3005108829,82022.0982744349,81557.1708696602,79779.6041101568,80415.9073037066,79712.5203128077,79659.4404965759,82618.7736134739,81181.9032226448,81518.0460949631,81132.2040920268,80124.3491795012,80265.2069201915,80156.7451412485,79776.7850900408,80611.0695497686,81367.8555684154,79991.9540675369,82216.6764108803,81124.3708879659,81443.3900065466,81300.2234637303,81635.0501319615,82448.0936173096,79469.7568814719,82377.0744859409,80516.8413238054,81250.5227230341,78333.5508769685,81960.344892677,81121.9218941541,79802.7585416484,80259.5613455252,79127.7905696547,82942.5671324154,80858.5573134233,81026.8159759509,80018.5668603836,80290.8097553583,79544.6463139807,81423.9476144313,80171.2452195582,79308.2570782847,79956.3551254015,80450.9558356206,82388.0814509055,79414.3628056065,81351.9772124475,79174.6625603749,81084.8097241583,81919.5247464648,80608.9951333436,79637.5803801499,77909.8212081982,80677.2532704967,81478.8184634517,83043.9407026477,81817.3699101374,81985.2132342192,80469.3311804281,81041.5738302996,82433.6345501274,82070.5453960115,79848.2467674609,79728.5357562664,79723.0694622489,79762.24714372,82163.9096805334,82000.330002772,80922.2539036463,80234.1599610295,81809.9523346262,80074.7854449262,80128.0890971409,81081.0035777197,80831.417525928,80186.852573712,82333.6423714748,83765.3337400687,79865.2239183349,79288.7191776672,80682.1956492849,82879.3091622465,82062.8829397106,81965.2149813173,82254.6240055012,81769.5766163085,81648.3362552579,81094.9490427039,80706.7039198045,80458.3238453264,81963.3038831846,79031.5493299927,79271.4188661791
"errorsum",81627.2183561295,81446.7623201787,80181.3936731846,83327.5699004977,83537.6931132713,81395.1083425942,81052.5646554397,80835.2339249701,83001.6241768793,79306.5941679979,79021.2736480101,81560.794236237,81556.0856823283,79962.459275279,82118.6896033376,79852.5855024206,80810.9924082615,77981.8494339105,81216.4456768388,81976.5323405255,79470.001568129,77362.5922237484,81842.4185767183,82230.5322453882,79588.2437656952,79541.8158233369,81758.9532609662,81512.410723254,81211.9439894519,81014.3771137969,79879.153897194,80814.9679677211,79868.1271833518,80096.709520432,83312.380788617,81949.6613013357,81281.7976084902,81692.8017558782,82469.0434022797,80131.5489107591,81005.3610500582,79940.0976943516,79263.547781774,79380.8761902534,80433.3592078933,81304.47869308,82331.3743334541,81620.9327333288,79523.3400448287,78786.8020910976,82272.7985614012,80623.0556223658,81564.7415292583,78964.5521028844,83919.9575662258,81668.0417804403,79550.030225295,81041.9289046248,80324.3192004954,80946.0056125373,79658.4923019642,81900.9063879833,79849.6365563778,81233.4508896907,80429.2908169914,78365.3593259543,79780.1372840835,80564.4856247216,81516.149758986,81428.7397552184,81946.0135976331,77715.0325112535,82804.8043945879,79672.4603383051,81888.1992123586,81563.7180499903,82112.5168380514,82607.3974299563,78508.4360819121,82824.2630217136,78844.1533188894,81150.6118947815,81569.302471574,81097.8036011313,80924.6846009319,82576.3133504123,80547.0083775601,80729.3638742907,80959.6159297581,79537.4341184266,80302.4299853085,81221.4835415671,81078.7718330406,79905.4333550351,81756.6116358488,80552.3668985373,80743.5934728351,82185.022901815,78505.6324828513,84902.4494267139
"errorsum",79585.619477196,80588.9949165208,80600.2502461184,80341.1604946567,81161.7546367293,81372.1176818399,80568.7918254173,79705.5094188166,82375.9496588747,81933.8502944175,81561.0495118145,81377.201087582,79589.7589754542,80752.9051757774,78984.0375766991,80123.4795178089,78958.6583084241,79407.4174824325,81186.0724278593,78919.2301256521,80486.6555535162,78659.740811837,78105.0160492789,78888.1770649773,78307.5286873013,79105.5373201272,80202.0180072781,78359.1113885992,80532.1915747619,80977.5519783623,80754.504973254,78678.4271127112,81004.8024048999,80314.5414613006,79839.4926004797,80672.7945793772,80498.6238393777,82462.0709931247,81126.5815029465,80799.8994435543,80589.3737564935,80991.3068344413,81774.2774145355,82628.3943327131,80760.6219784358,81542.4455699186,80888.1808420502,81296.0735340516,81536.891672192,79471.3496555606,78501.8996311604,79906.2204427787,80968.0791603256,83449.8167936372,81112.2272245059,81067.371153635,82596.6384800497,81818.9929637321,80597.5207514628,80352.5988630514,79484.0065114451,80171.5302381365,78841.3652603204,79358.5671743244,80413.0362489945,81205.1453891611,81372.9611287012,81347.0869440839,82356.8810631547,80607.6237223434,80200.4696258913,82041.7681597212,81460.8011793128,81971.3863576949,79068.1480713876,81717.6226194855,81492.7193209159,79963.9529633396,79990.6821456458,79862.5532117785,81656.514224224,80195.9194691975,80981.5329287941,79935.6255326831,81362.4444490937,79206.2469158979,80696.6085125674,81805.8780506054,80247.7087246138,78999.4145250472,82325.3395753511,80247.8714323593,80252.8632010677,81793.6958734299,82640.1181141016,78257.5583670988,81586.0705343844,82121.1730014313,79658.4776422635,80803.8323448285
