"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"errorsum",1042275.14095452,49070.1167219116,45305.5321494847,45078.5098926587,44972.2514408048,44509.7009187149,43601.8719979973,42531.525313945,42029.0992278534,41804.742652681,41759.6967289072,41825.2183265549,41980.3668359828,42266.9261364159,42811.7777116487,43702.4158604828,44207.7133088816,43731.8330320342,43257.0240820503,42563.8586857477,41738.4294939754,40941.9141529883,41047.7122871674,40328.3579735403,39518.5243344972,38647.0002891831,37739.608935009,36796.5431926225,35857.7395504094,34932.3467337157,33939.8268821168,32956.7020789642,31932.2496638465,31126.3225044047,30282.5653201077,29808.6101241088,29373.8337833464,29105.634683315,29029.9427079667,29147.9764095459,29448.1415753072,29854.8998546599,30339.5289667933,31022.5207561307,31942.1608484279,32794.9982819947,33818.2254261292,35082.3411533674,36666.6016802048,38486.51170365,40223.6324630647,42230.9836067129,44572.3293529622,47247.3193090615,50304.6241731145,53803.8747260974,57803.8363275868,62237.8015392563,67142.6889750008,72866.0251469415,77871.4685933669,83563.9378097399,89775.2021452757,96963.1626064367,104900.930337058,112218.148160676,120032.201857963,128429.027504508,137481.822674948,147752.629412224,159093.150159822,170703.746807547,183853.591112602,197813.428970444,212153.523051349,228797.19284015,248282.444448608,270925.144072527,297982.813152188,326123.463085687,358046.853549268,391929.155496525,428514.922145752,468172.86762953,510432.783040974,556750.994945735,605784.238325973,662265.750918629,732838.712331511,806634.125618016,863611.281185583,921951.875923909,967727.923015607,989594.012512259,1008045.40613647,1025304.375816,1031869.39279751,1042109.64250875,1042275.14095452,1042275.14095452
"errorsum",1178802.58797842,60961.5685604113,56424.1196618245,53405.7395651841,51950.5122317702,49755.6423544387,47832.5779117724,46237.4956449901,44966.6699512358,44102.900582327,43191.1904708791,42420.3105223534,41682.3743060324,40865.1431945824,39913.9690728219,38873.2238958802,37720.1604356037,36854.1338972984,36107.0554722233,35357.3819056842,34606.880588513,33859.1254866,32962.2681750443,32024.837753425,30630.7719969572,29027.4584258376,27626.3226574236,26673.1619248927,26179.0293269178,25796.0659536037,25544.0998329138,25408.4214483935,25335.1786458685,25127.2798241354,24969.4029024793,24966.8139490268,25088.301124202,25241.0019100598,25507.1864422735,25892.7532831871,25831.755341824,25812.4191395574,25895.6054437018,26121.9875602536,26642.6066547999,27268.586910982,28041.9377566668,29030.7837997959,30249.5893491536,31667.2752821661,33303.6406412537,35190.5224600367,37498.6032277426,40254.6836318984,43233.7649659925,46824.733636682,51187.6926963031,55793.4984163351,60556.2619581392,66302.0530611958,73196.4222949065,80725.9142226387,85623.1362182624,90063.2413785135,95098.0424999329,101493.096095369,107904.703578872,111540.408587133,115477.741344836,120447.620521187,124766.023039735,130372.288379507,137090.238417554,146082.610710926,156863.291087775,171798.559626964,190062.336044172,209435.52762145,227669.475153238,247399.45415159,267349.964119327,282541.322927228,300812.521483981,322711.954953844,347482.921866277,376824.3349714,403036.725694624,434137.248940253,470705.244000852,512337.98178209,555686.970040193,607522.689253883,664746.44540122,733192.442160302,809275.768788644,875362.712346709,938745.208137399,1014425.53895727,1096620.12546468,1153140.75467463
"errorsum",824593.228146685,31587.9281607926,30553.4055607865,29505.3668374081,28677.4619100122,28373.8718088912,27932.841617106,27124.3202541884,26593.915329904,26307.6783600764,26098.7878527218,26405.5847588462,26198.3400706537,25938.0870822224,25558.3283714385,25095.2514389656,25095.8278149584,25051.5087408811,25091.6289835763,24561.0162663384,24131.5715547225,23867.4441546821,23354.5825419312,22942.0998275399,22535.3480191971,22118.9344851253,21780.5568738774,21539.9479757155,21355.9844893308,21158.5348260354,20960.2518709195,20913.2224614959,20964.6307997258,21131.2376827433,21393.7639896923,21739.7750268805,22156.7282130948,22591.6063688552,22958.6749788123,23351.2145844319,23778.398447159,24238.8140095605,24743.4970599538,25335.3817312746,26066.5267536319,26839.2773362845,27611.5604808172,28508.8011499957,29554.5789215505,30575.7930999885,31550.9058000242,32653.1558040897,33844.281121593,35143.2570171945,36708.5005971019,38582.2525449174,40777.2073304267,43177.8081238949,46050.6758625753,49396.8438393004,52693.8210345297,55987.7922885086,59862.2246765106,64698.1209798188,70512.4443323035,76367.0434048992,82654.0026257827,89264.1975526995,97194.2967281796,106625.144890656,118210.109320734,131418.528502907,146426.245627489,164437.258299414,181867.697235553,197360.348953035,215450.935427101,236018.268140823,256081.302184593,275789.451587721,298547.515590139,323847.996845094,349608.056859883,377355.895855715,408766.963735088,441758.595818666,467535.203210246,495424.997091743,526714.430024685,557801.391392322,594576.981222789,627307.24984861,661975.970245678,697506.068732191,726714.140745387,756296.595395226,779800.669600204,799506.783770849,812346.266883621,824593.228146685
"errorsum",810629.503196932,170601.31509472,161125.031980474,145589.117559284,128268.412259693,116445.469768875,112617.218836985,107074.480167133,99812.982274823,92253.0890743566,84858.4147938668,78059.5204297076,75267.0307148675,73861.8152681761,71416.6811710527,69284.6667101804,67908.1450050035,67887.3471451579,68373.8015130025,68952.4628664738,69529.2371992826,70037.452136973,70647.670214732,71889.4287873275,72057.2238973088,71522.5391174032,71045.124896967,69745.6977793177,68435.3524347275,67192.222511937,66021.9149272549,64956.1283467353,63934.5594975649,63003.9537885698,62107.9343361741,60997.0477858049,60022.4819530138,59033.060253597,57976.046905154,56934.3843664804,55950.9701424866,55031.4459924521,54007.8571094903,53132.0789386576,52331.397504281,51705.4198033311,51296.7390506442,51132.3711937269,51238.1779665669,51638.8828532519,52366.6322996372,53475.9494818923,55139.3360656656,57368.353885765,60131.9102381747,63191.7776593832,66966.1149295625,71674.1907887772,76317.4861031714,81211.8410862056,86624.5845332583,93021.1761994916,100144.37110879,107157.556601622,114107.880715932,121911.965691307,128563.555167864,134154.396329465,140063.004979837,146698.56918027,153261.994477309,160374.594391204,168983.62607233,176744.081464523,186072.069158869,198602.397218916,206662.193428972,213129.585039486,217993.81180855,223855.198522705,231188.448371233,239382.813008214,249388.851151325,261649.288341895,276496.373418404,294579.0395206,317559.750477468,341875.226665807,369470.474835176,395875.514917144,427891.639028482,466206.934469183,512856.790265643,560262.399097034,612467.68643271,654608.071842573,679959.489477035,712348.470833381,752506.064321573,771209.02455114
"errorsum",1139319.34178801,31893.0848141761,31861.2624035436,31879.3105239377,31934.356485966,31978.8217609018,32007.3711889116,32024.4810885041,32110.9760685599,32120.5407428006,32316.5802828238,33389.4023650471,34119.3522517132,34969.0814551956,35920.679702139,36759.137945079,37276.7448662639,37736.1769239246,37957.4500309858,38270.8676427574,38695.3753210129,39054.2497830952,39235.1792012167,39570.3101554392,40042.3536351068,40731.2408627679,41353.3498726173,41993.7281123652,42544.510318827,42894.3367011314,43054.6870191949,43091.109983209,43082.4878798014,43421.2780174518,44214.0039443355,45330.7413166617,46492.6695397017,48108.655781335,49970.5473333561,52003.2451991031,54426.7979233975,57132.4048294344,59593.333571675,61843.6332940863,64357.2440254338,67131.037954751,70277.5038219261,73719.6294609099,77294.8771390162,81156.1380963241,85388.1993228398,90251.3803251291,95004.7045246532,97689.6074447398,99515.1313693891,101189.922008645,103511.278180462,106045.754359561,108869.830838901,112184.428510274,115789.834115806,119400.767199637,124736.22931208,130455.152927417,135692.651123072,141235.47415967,147329.322006735,153950.647606278,161104.841068278,168017.42295238,175486.856902027,183304.003676111,191350.578866938,198681.195735573,206911.217489998,214890.359872366,223335.133427871,232907.033206748,243010.865959273,255695.504577585,270840.183101636,288543.056950616,307314.985386236,329001.672628219,354608.686027933,385723.951353973,422848.00483088,464857.732789539,507340.267367891,553708.042831106,609594.903769197,673932.773455348,737046.202236738,812715.818909504,899202.405704828,992311.19512821,1065950.51489296,1112147.3693007,1139319.34178801,1139319.34178801
"errorsum",1254893.48711976,88933.6165770212,88587.4906025781,87067.3491431221,85806.0084578594,83981.0724950159,81990.2855589233,80271.75083968,79069.8343784342,77814.4201719711,75227.6432822052,72729.5789036379,73734.9987642599,71223.3974386768,68698.3227123087,66236.8313445251,64099.7993491189,62007.130207415,60290.8778442174,58852.1148102179,58165.4764468712,58123.5000595528,57080.3037750007,56610.7905918279,56383.2615048701,56301.9720712908,56359.9947535936,56567.2874141701,56852.4009384981,57348.2581289125,58000.6270831925,58866.0914924044,59865.3381383398,62451.484220783,63843.7414949214,65385.0232612909,67222.4793791324,68585.7253502819,69492.5190390503,70412.5074691897,71399.2014795447,71953.3594666842,72486.9864680184,73071.7678248555,73859.5470382436,74583.6517349327,75340.6453783581,76312.64957033,77315.0479363515,77852.3002066457,78484.6110021848,79187.3312552786,80132.2085750767,81315.7578555977,82826.1808177809,84970.3056198632,87651.5795212572,90787.102175773,94619.9786166653,98178.2619185634,102155.883364337,105537.968547528,109185.496124236,113473.727848182,118514.851192039,124077.92168198,129848.811581537,136284.263546939,143146.78104035,151461.341473091,161779.084362526,172481.095146288,184291.94727014,198310.127288587,217517.62732775,238490.202348252,261978.76110922,283532.929824087,304277.792601547,325976.996806158,350222.51515639,372438.285108093,398107.424563684,426733.2256609,460965.011903101,500764.275953953,539938.896559922,586025.591704264,640890.612366785,706233.150401744,783887.251338376,857070.798184558,930230.682769116,1004575.34549109,1079352.04000734,1150566.67570321,1208729.3609871,1254893.48711976,1254893.48711976,1254893.48711976
"errorsum",1263281.92231132,83640.0585023263,80096.8114425039,75072.6497349006,69409.9045970885,63611.1542807876,58720.8142184527,54376.178862126,50108.8496344715,45954.0677754966,42377.6089829426,39039.6864339502,35976.7721114907,33235.1264664148,30853.2738882873,29034.2562369855,27120.3213686428,25317.4632193984,23703.7074339575,22184.6781331871,21053.677250573,20027.3970347356,19127.9776335238,18280.4086747072,17401.5462378939,16468.4186644393,15599.4114091437,14888.7294504271,14383.8129311907,14082.6266236197,13935.8315975952,13926.3869602931,14032.5905854268,14367.0219943251,14868.7452599649,15510.6217743168,16206.2809828668,17016.3551659598,17990.0583459668,19100.677931665,20338.6781993333,21560.5387558437,22759.9241739561,24038.2773901141,25434.3181745353,26817.0797590634,28309.0570751724,29963.3306220053,31771.4287639661,33605.5920693254,35541.1705625281,37651.7911954094,39118.5824246429,40653.1913922379,42122.9924891443,43789.2321331116,45508.5722750209,47539.0131566604,49874.9836268391,52133.8242191787,54751.7344005171,57725.5989484772,61138.2285141662,64861.9292471131,68485.0176519447,72171.5611403574,76096.2406313702,80283.3683617999,84340.1074498064,88583.358313651,93064.8454764206,98368.619355541,104417.020306649,112097.934919205,121570.678720011,132361.619514071,143865.006842128,157394.624467568,172739.180374008,190718.045866937,210250.011746186,229450.505463217,249461.19018657,267280.228181762,288571.396197313,314047.612896667,344619.585589767,381542.55117287,424698.749716691,475508.065163211,531306.211385848,581483.484514361,634828.089388828,698788.321459521,774830.451841242,865279.210969582,968729.522687598,1081370.72678066,1181814.44383773,1263281.92231132
"errorsum",881718.762622397,59824.4657622414,61884.8699399783,63054.4427082826,63497.8268874885,63037.1427999728,62890.6872199618,62746.5185433812,62170.0310437877,61675.0208133019,61123.1060235643,60141.3735015809,59003.0101911751,57700.5746449972,56121.7797214676,54468.6402065197,52824.3634459337,51759.3075775747,51117.809620239,50236.0388995697,49506.6399165814,48872.8179712747,48330.9201289857,47837.1689169828,47773.6260227314,47616.7848128771,47211.8964621447,46296.6702276506,45498.3517624675,44881.9534397598,44489.6670713106,44419.7905234166,44487.0171298984,44518.7164735473,44560.9969419685,44689.8090738654,44891.8679727833,45186.4967748056,45642.7822961774,46267.9367242596,47070.5668306024,48066.7196022725,49514.3237511944,51110.8697240606,52735.5217173657,53514.8804693443,53834.1513645346,54242.7677463565,54484.4972002594,54950.9901609037,55657.8871220234,56718.6230652346,58044.5191404247,59852.3628243523,61520.7919311969,62704.5363576095,64183.3632937776,65826.4337017079,67574.2041773166,69758.4959191535,71814.5649251629,73711.1489372867,75669.8139100638,77779.7739792018,80196.4250477425,83150.8790026485,86796.7940920156,91323.5276456157,96443.2525661315,101989.592169967,106580.065719845,112281.712000753,118743.666035024,124630.718000039,129502.870954002,135497.928715598,142378.478372345,150045.970935973,159333.128569712,167076.466817931,176957.625623257,188533.365669002,202572.352284102,219542.237296654,238695.500829934,262699.151325381,291222.26170906,325809.088125039,367460.448423545,412815.73981298,461452.933613034,520682.044340503,590041.611487963,665199.301729541,728232.860548984,770301.340608493,806378.140578053,849036.024247234,875923.917929289,881718.762622397
"errorsum",1328741.9507177,128393.024037905,115854.021741809,105310.155948738,101961.139452601,100096.34244752,98305.8880826254,91887.4569552212,87320.9993316648,84091.4722445242,79787.4089496816,74863.1595637406,69299.6717084457,64326.0334379379,61002.3533013594,58708.8694158596,56913.9268963587,55934.6814152764,54936.5153432943,53995.0280156276,53201.2823366933,52559.2379267964,52110.7575838512,51790.5699103349,51526.2824981574,51172.7045095664,50711.0052687228,50287.0081094916,49864.5652024437,49121.9552348956,48378.6479484065,47582.3215893882,46804.1223691675,46315.3791200836,45734.8585461096,45221.7075863792,44889.6358051186,44670.8952817215,44637.7040289432,44805.6118790073,45197.3464227364,45848.6222765668,46915.5527411322,48361.1210216944,50062.6917435893,52151.8238674911,54527.3953297936,57098.8024104565,59192.8830915691,61111.156304693,62863.5565336997,64625.0021752781,66624.672886283,68460.1447444438,70001.7686441871,71124.2217570874,72362.7091137693,74299.5423987368,77228.1381792453,81353.4763333607,86137.0637117319,91561.5048682717,97169.5149584062,103276.857943007,108615.304455458,113322.037681343,117287.199837432,122234.037963283,128172.109839803,135040.717877212,142626.563235401,151659.335158489,161228.569220627,171869.990321139,182467.985337837,196018.767838728,212074.172134382,229452.5378757,249045.523882012,271135.125873488,293392.116602577,318784.38856105,346470.016448062,379708.433701837,419688.345595382,465147.150124408,513416.198976942,562874.118126862,621752.836839081,690278.873940295,771998.982310283,842956.283599786,894903.164536403,947934.401164789,1002153.96047186,1067887.24779838,1137855.74699701,1216629.08478969,1295715.61970861,1328741.9507177
"errorsum",668781.361496199,61683.9732055343,60608.9517598994,59582.8376058863,58456.1996068226,57597.6880501862,55621.2409832204,54072.864729924,52917.6883452167,51415.2292252039,49540.0948491527,47478.2701706009,45488.4471176716,43786.7315644007,42260.520035876,40797.5915952164,39416.2107198224,38283.7803861746,37204.8149574151,36179.5916722987,35326.2726999086,34518.3149097304,33750.1000668454,33025.109309535,32345.440438438,31677.5525688228,31047.7393345255,30434.6138860713,29756.7092364757,29341.6663596925,29159.70454565,29113.5557594845,29211.4606082832,29447.3142095708,29784.8817226629,30274.8578397743,31022.8235143884,31713.0539716466,32602.1394319142,33758.0640826734,35143.6998614111,36328.908163013,37424.7392139357,38836.9659362451,40694.3552180133,42848.0428653369,45300.1911884689,48049.0621449569,51095.1464408917,54433.6935585372,58015.776370766,61317.4789564611,64350.5997253202,67211.5747542302,69645.0341038361,71634.6165308188,73361.3549211572,74936.9193503052,76491.8111510795,78266.8975955455,80392.7878899171,82915.3438313909,84829.6409827897,86327.9797571111,88498.4288331187,91360.980022943,94739.0516013846,98873.0633712143,103557.836292414,109282.546958646,114903.974556137,121317.565432225,128915.62424436,137460.433438164,147966.616387603,160275.393134337,172151.911866109,183346.353407235,194640.042122963,208120.063757788,223809.384076472,239397.629029795,252360.526883484,268370.584995205,285184.817006146,303912.146384911,325732.260961217,347168.725815148,364992.308508444,385952.202945808,411475.56883515,441572.868148281,475805.805896001,518007.096366986,564837.396741343,598592.735792385,630931.012016321,645446.885592515,655188.007176938,664389.124245381
