"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"errorsum",93876.8057088526,10873.09542942,10707.3869501408,10570.8715852203,10449.1000630749,10320.1404573332,10191.3840890705,10089.3175764605,10005.6669535441,9931.33248268466,9863.53762861028,9807.62249228654,9755.8768681137,9700.13181911107,9639.98429974322,9578.07026722359,9514.90392084043,9450.59863812751,9377.77754966373,9305.81605364894,9230.0570169648,9152.82058733482,9068.53134529557,8979.81040319955,8886.83893347693,8790.06741716972,8610.89251553813,8514.80706969515,8369.75476135512,8229.23375181151,8099.48395068557,7966.99949424908,7836.65701486532,7653.39671009316,7489.39457658582,7340.53720461485,7211.49930511147,7115.07871309105,7042.37364897285,6993.74181604168,6959.44223463811,6969.90926830799,7044.57909303786,7169.8812899782,7357.32030180351,7606.24564744378,7925.88040142796,8315.50761121015,8782.05005834857,9344.58044213516,10019.7493740195,10548.6917859838,11172.0862115599,11904.9876417081,12686.0491931634,13599.1975395819,14610.3484280444,15704.9806802108,16998.0687602701,18478.4300506863,19772.8826628691,21050.3421184961,22355.2391762988,23966.4647928866,26251.9533873499,29020.9368910171,32155.6781507679,35530.9236181975,39228.6314950242,43531.3540627958,46518.1082171816,48953.2053545236,51057.8638465717,52611.3586633423,53941.1817104802,55060.9697036048,56535.6215395983,58873.7463337595,61602.3936324392,64667.7544271461,68082.6829688908,72370.8377772366,77710.8582925552,82500.989959867,87813.5989886805,90918.9953922479,92606.3580190505,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526
"errorsum",82266.130130726,18377.7080725659,18487.9260535721,18570.539043309,18769.174320309,18839.8787023857,18893.2589377922,18925.5099736269,18931.0283648853,18905.1154710025,18850.3492501173,18779.8494527726,18692.70159953,18595.9275702407,18484.5871872431,18357.2260046473,18216.2861050025,18083.3518811419,17934.0864742867,17752.673038242,17528.8116880116,17271.6614197508,16990.2936295665,16680.7885902113,16382.7187138958,16107.8893113932,15890.7948952785,15624.1139479188,15342.6225117062,15044.8918735117,14702.2350745323,14351.2001753025,13983.5396532477,13603.602784735,13199.2206082516,12789.8486857568,12526.4235673671,12237.9606820728,11894.392731074,11534.8046994113,11181.7121241081,10682.7606092228,10434.8190308325,10253.3421443717,10113.6964275332,10017.0988802268,9983.59677262121,10001.0801941063,10113.1340106469,10326.9527804979,10505.407667772,10819.0785731731,11130.1546922763,11276.0288393002,11427.8754494895,11603.4172443379,11766.3019184982,11970.2768959625,12318.3441785437,12739.5821092843,13208.4228864657,13747.0380775352,14384.323471403,15205.9991122295,16166.9687256913,17253.2475866161,18643.6804335176,20220.4202801993,21527.1126668315,22930.081272837,24783.1458268845,27109.1930390072,29678.4993101261,32498.6321566691,35568.4048972038,38895.9582033151,42958.5876477945,47871.4521226828,53484.4281228501,57786.5055032323,61955.1443945534,66123.5886654668,70685.8249947407,75199.6247761373,79091.6544042272,81774.5519752971,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726
"errorsum",91928.0478828788,21136.7227582738,19907.0561147781,18756.1586826459,16891.7048362246,16102.2040239959,16039.8681805303,15900.5939670742,15556.8551653396,15218.5851137398,15159.9745443342,14909.3902901551,14725.9130184137,14572.6907409843,14357.4900650506,14248.0358473108,14150.5784899876,14049.6019224281,13951.603745381,13855.4226543041,13766.3738924174,13670.5580275258,13579.8994433288,13493.13396416,13397.2871576514,13297.6811087311,13193.6930308076,13090.6912868883,12982.4106953763,12873.9051506299,12771.9889129959,12670.012414327,12555.5833496019,12439.0319152645,12321.1542004992,12195.7770475988,12070.4024648156,11952.1715370446,11829.2547909469,11706.9862592417,11573.5648242068,11468.6842885378,11389.7771319279,11328.0345403452,11280.7356849051,11258.8863866748,11262.081351678,11287.5053826373,11363.0005944278,11431.3559046151,11640.855387899,11931.5681353085,12293.7306399471,12605.5172918371,13038.5134230994,13603.4257551052,14227.7945861689,15015.2746870105,15812.9568614148,16827.0219738545,18063.3707223715,19467.2798229333,20653.422852679,21852.6925494798,22677.1901522467,23786.0007340083,25142.9562811653,26858.792098525,28952.6951668458,31500.4858133127,34595.9407403211,38212.3080797468,42429.1050169639,47079.1427140852,50902.8191515307,55064.475606316,58950.2082005871,62603.5129113043,67190.6074872959,72222.5873309547,76509.069278689,80872.263240427,84089.0889822654,86050.5224740945,88414.4006380168,89954.9788360325,91749.45867378,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788
"errorsum",109530.098150303,22234.4646678034,21073.513785154,20222.0033077093,19075.3701688043,18416.9742190243,17646.1457905257,17068.4212444805,16574.6289409385,16156.65666288,15789.161161705,15332.5534978433,14991.5341005871,14683.764513302,14572.211235996,14383.5908087847,14180.6363358135,13994.4124948689,13837.9425188942,13678.2980316237,13516.7073878303,13405.5149841018,13313.4564094227,13214.8565040436,13132.0548340384,13052.0402535157,12974.6861676741,12932.5775296808,12864.4012875144,12799.0026365683,12726.1048568248,12636.3731955012,12993.3184975067,12894.7037052126,12782.2930895487,12727.5426885133,12691.2315856687,12664.5444787593,12759.2683348531,12832.6379186802,12889.5284419753,12973.6394007089,13086.0186540077,13231.5551701052,13353.4411801687,13509.1640197235,13748.9067234605,14072.521331812,14268.4629342382,14545.8055621971,14839.2507273828,15131.2650706661,15539.3628535088,16009.9166595375,16518.4952431191,17089.6497607663,17664.1889904464,18325.4512496662,19095.8203898122,19955.3767281066,20849.4822139085,22017.0980537046,22963.7082879068,24097.8623534965,25436.070102338,27122.1058696494,29266.8235522217,32346.4211082069,35932.2130695118,39884.2857435032,44610.6506733203,49372.6693327104,54759.9504869033,61016.1628020072,66063.582544643,71418.345758329,76974.8797285847,83837.7043976508,89845.4171683663,94217.3713471275,96822.7992298638,99167.4025268322,101439.329996586,103228.339934181,105418.218234852,108126.488787187,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303
"errorsum",115380.850916838,29119.2599784568,27244.2123273389,27118.673470686,27105.0750427307,27036.3167725657,26961.3126705376,26873.7634320659,26732.4100229822,26598.3635287993,26283.7142298855,26148.5538402168,25962.8500672389,25702.9320315562,25509.0527521178,25344.3448885761,25165.3672542434,24958.1061211366,24713.8519682116,24412.7296516689,23957.6960221574,23458.4043436367,23131.4658749032,22764.6232872142,22337.6316544448,21867.6524673619,21455.4561041876,21091.6467406065,20670.2309849336,20218.3685959374,19760.588532995,19440.8882782262,18998.5064479982,18514.4663300068,18032.3710117089,17512.562926728,17000.4473646667,16572.8206135003,16144.8847428597,15752.2567931801,15352.862643126,14954.8129702549,14557.6459384884,14342.1524655493,14140.7765038087,13953.1599820382,13771.0226194309,13628.0611709064,13457.598902229,13284.6562185312,13133.0804569108,13013.8282980246,12927.4719305977,12970.0530464866,13049.8483687967,13187.3555382143,13245.2048521113,13213.9855837646,12982.2701325593,12822.3378581591,12759.7522869936,12798.7715217257,12768.0215258407,13266.9742943114,14223.3871180144,15452.2140176469,16995.1600128201,18662.8777988752,20704.6275790013,23103.2153893005,26051.2657378716,29465.0560688423,33595.0032147037,39139.2208216869,46045.6448138723,53729.338887596,59605.1693588782,66119.6082297189,72798.920877076,79636.043945579,87393.2758093852,94812.9241768795,100561.020836379,105547.554749311,111227.322820403,113379.81907375,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838
"errorsum",156620.497922092,27540.1995704749,26286.9351224974,25478.8352743065,25426.2844929014,25236.5222984138,25198.9774710743,25178.3468499828,25182.3403074633,25137.989187667,25101.4674565686,25062.966088418,25087.7778226251,25036.3611164215,24980.1016688345,24871.7429254777,24987.7648558195,24770.9990297302,24538.7935848088,24312.748202355,24057.7996002835,24067.4111757787,23701.3789509556,23267.6157951952,22748.8878570662,22280.5132294754,21848.157673995,21391.7623542054,21139.2034378858,20564.3590847322,19994.7342027759,19433.5097578869,18921.3878200588,18777.529233706,18356.9391844616,18092.9302764168,17920.9554530469,17866.0122234789,17865.6079466017,17941.9489029664,18329.5496149354,18956.4051530907,19664.976622157,20476.6552241376,21192.43552267,21309.9860455721,21531.01336887,21855.0183297629,22315.8028553831,22878.861890347,23534.5294432829,24298.9884627658,25114.4954025939,25777.1879488787,26498.4251070794,27393.5908207308,28505.1273963349,29614.3485869628,30707.9924622942,32109.241357138,33797.3938911415,35841.5685142014,37731.7385563531,40115.2567230778,43249.6471915373,46289.8784933112,49095.2831267745,51661.6471553318,54387.4693901025,57599.2238576352,61170.8621780672,65195.0942017805,69889.5843701462,74911.6404958306,80982.4345679613,87748.1836043845,94650.7461340402,101278.104128159,108646.891170938,116342.12291527,123835.165131379,132207.450976491,139603.749248754,146600.049271167,153031.510005869,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092
"errorsum",93723.2972349426,18964.482281136,19041.2560794382,19260.673786415,19296.3959202711,19280.2758103921,19265.5955547691,19251.2991573123,19236.4457098951,19218.0777971648,19173.5575978426,19070.1820147141,18960.6848009236,18879.5760533523,18794.0175419578,18704.1150008544,18609.1976956991,18508.5676792253,18361.0376080054,18216.0643501061,18093.4853021187,17969.7427138546,17840.4527312375,17694.5916109097,17539.0860859348,17375.7172098996,17201.9209285783,17016.9333463459,16824.3899053718,16654.9887281797,16400.137098059,16112.9579630921,15813.6433278254,15680.8698649479,15240.9885759321,14839.4023023625,14519.3142441192,14202.3713201179,13948.9490070705,13679.014148521,13408.0619827042,13143.8522866237,12891.7134806424,12605.5763020102,12374.2381451645,12208.6525533884,12086.6326862193,12040.8965304085,12091.6126121962,12203.6232331005,12382.8936675352,12639.0327997399,12958.3696279772,13316.0134427647,13717.4990911138,14141.2185759957,14675.9795529764,15348.5258059908,16180.2566067432,16940.4955984655,17760.6250396715,18744.4978477457,19913.1597158029,21069.8542329048,22381.5265476331,23899.7361858958,25718.7074777362,27923.0611189641,30593.6692140606,33811.9859195886,37116.1062850066,39761.4689843779,42218.2494699155,44940.2936696691,48191.8348680245,52071.7206043858,55825.8747887187,59807.8906603733,65041.5999966676,70201.0562132315,75473.4278303298,80975.1073450571,86614.9621545641,91252.3511314134,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426
"errorsum",99575.9748178968,9511.98855957631,9519.28669601266,9807.41833323444,10837.1104904614,10859.0650375154,10905.9015351588,10965.0651811898,11059.3007212528,11200.2147254889,11560.671926961,11794.8190994714,12019.4777513049,12221.0297149184,12414.4773572983,12600.3460282035,12765.7584845854,12911.1512837171,13052.4782220145,13176.3686204132,13284.1141208912,13375.4956709184,13465.8930665003,13541.9751975134,13606.2242246157,13647.1022414253,13693.5560073259,13716.7823359673,13747.6552285655,13426.4986371538,13445.004650645,13454.0543575786,13449.8215541723,13422.8003765002,13438.7189815601,13394.545273128,13289.6751000587,13182.3446360425,13497.0928878287,13473.0890640757,13499.98875813,13621.0947587747,13737.4799912518,13868.0160279315,14037.3069737342,14191.1939758098,14437.5768269562,14781.7361742544,15035.5027305438,15301.2874407356,15631.7105956042,16005.5020598789,16379.4443166719,16660.3966164825,17003.822903595,17369.1723369895,18075.8839419719,19014.381588221,20052.8202945582,20860.7900031185,21709.0947347821,22616.7130825163,23168.5995085456,23434.9847261001,24082.5244758835,24986.1211372382,25904.9234577527,26973.1990809815,27982.6523761347,29264.9968466993,31174.6713232745,33601.9610161051,36460.3423936337,39947.3614033249,44216.5429186483,49436.5727451408,55145.1272923968,61429.3593401048,67360.5244855882,71403.7155168442,76241.6242986678,82464.7677860323,88548.9970334799,92719.9917298959,95425.9119409898,97544.1623328353,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968
"errorsum",117789.111883358,19192.7295369578,19059.5542821088,18821.9717743328,18131.6866644918,17893.1388888682,17557.6794790022,17335.4082034754,17147.5861025364,17001.211889954,16845.872307265,16699.2413848758,16558.1074680877,16427.6881198157,16299.7560114811,16183.67607445,16062.5564301281,15941.5711884415,15820.0676681569,15704.7822818506,15588.4644596288,15235.8910043959,15116.4845879462,14999.0079461202,14879.2185333938,14642.63778403,14556.7043096503,14471.5273885129,14376.3175138619,14247.3239879289,14114.6323969291,13988.3100814039,13873.0868064851,13776.9842137684,13686.1236189569,13709.7163233601,13580.8408993638,13478.0165833762,13391.7670257214,13323.6430937672,13256.7873198355,13240.7878334665,13222.1256960477,13261.1950587175,13363.9960279584,13476.0952585143,13626.6612320301,13817.6242174447,14053.2942230932,14298.5101623837,14650.2540851911,15077.5703331898,15593.0819875059,16055.9912480016,16359.71756403,16895.8529661792,17543.7953271819,18367.8786363825,19323.3521240617,20291.9496077119,21388.3123765673,22703.4913515588,24145.3748864242,25757.8080599865,27638.0352006716,29959.4050355197,32886.9859554351,35884.0151152613,39615.1179984262,43385.3601330039,47019.7350355986,51173.8677551293,55948.9383623447,61649.0637096466,67983.5678876487,73907.4064865902,80567.3695882218,87493.0512820076,93917.1314632568,99147.6454049821,104820.748003219,108663.080941435,111858.016593954,115341.395812828,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358
"errorsum",131103.490308436,20262.0193344172,19546.718947929,19215.129039468,19103.1939297638,19007.1905810781,18915.2260350312,18836.6963433853,18790.3234483438,18776.3625298055,18757.2691519824,18720.6083516258,18675.6735374288,18632.5711238122,18587.547768441,18550.899341988,18514.9849276968,18481.8206061182,18432.426333579,18379.5762731277,18330.9638834409,18285.7140994741,18249.2529857361,18211.3108281228,18172.7680204815,18133.8449696327,18046.2683596395,17927.5408035852,17794.8804204316,17658.7569963144,17519.2795394178,17382.88390039,17246.5704376148,17116.7770936825,16995.0668753818,16881.2921840711,16777.5456147656,16687.3625583718,16616.5767464688,16564.3827652327,16535.1873797353,16571.3334760362,16651.4525784862,16763.4666885104,16800.2863107543,16848.1790751825,16944.4844961343,17088.7530308336,17383.7295072721,17776.9669420739,18189.3801090201,18689.7363205026,19297.1562594213,20069.7757802439,21009.9877276003,22236.1016174775,23673.1953582787,25323.9949319038,26607.4097178205,27885.4499029123,29343.5519988232,31073.3983173324,32973.0261755715,34862.7899572524,37174.7402791568,40133.168899292,43200.322915406,46389.3753806957,50257.0377578838,54616.8243971652,58400.4453586531,63116.7598958686,68570.4789104539,74527.9839234475,78853.8293985987,83480.0417119967,87812.5106859948,92064.2665780696,95935.6067583849,100552.627977073,106062.686363452,112068.231990295,118435.517645879,124574.767107534,126120.813350544,127954.869978294,130133.090418189,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436
