"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"errorsum",209426.320194035,240937.743273664,224892.614278503,263393.937683157,243046.578277517,276133.859465617,218083.37214241,247553.532784962,234430.945514899,251072.411012376,211801.693307062,245331.715286378,273975.412408422,227329.017699576,163454.85250431,171659.346720459,229330.456222749,234281.814655681,208227.799151384,206993.608715609,206072.310208931,240848.365327605,198255.663573584,147544.335877332,233021.24363463,190071.524114857,143592.376466718,157107.917165217,166364.398374188,209637.467005879,252917.143318822,228726.398754672,245785.748263876,242999.221228789,260300.524085947,218500.651624793,241526.470710057,240212.189925994,229908.25817791,228642.943984541,227007.866744072,255013.029146681,198175.044935288,188422.856091556,221393.446595731,219930.78373103,176967.436601991,200674.858155418,177770.662287183,285353.48847977,254901.482918343,222019.750999391,235493.06561789,221191.989931876,191840.270933615,213833.289721178,269386.505801468,209159.926398659,278786.034233534,196876.354611618,173313.070562056,246525.861368645,252194.376614688,224618.046765176,228003.885047068,202236.618865174,221020.316520617,257883.480955585,204403.239342915,219188.125826054,184728.758701396,173059.00368357,235786.027689269,306215.711457795,219443.425154831,193302.981486854,227040.347044272,192837.501913574,242368.652304508,186018.859481767,243770.198273423,144111.888970394,197352.806520024,234860.179900336,135694.500870009,239535.808624477,211364.931855865,262566.418656308,271351.963437373,195593.479166265,243653.357416118,287900.140521658,309860.001098088,173309.4911924,184097.775505215,188738.312851721,191840.924533107,191617.593341012,256375.918442322,202802.563404367
"errorsum",309519.971146801,189717.191087039,238443.607608231,214270.884444554,197965.483214891,266711.48918818,243839.892031278,231747.458181013,242519.586097924,223517.494412085,211097.440928546,223978.96669368,187779.736455288,148758.054144183,216525.239793999,245577.132469885,200108.753294984,197376.177142861,240139.349145316,262043.723170438,279980.927833947,155237.233430493,213763.432912149,255820.724494222,202883.382108572,275918.206743726,220605.409862249,219496.509327358,231271.71526037,149761.420579032,237106.788608011,219252.523587442,190096.838132741,208616.652292467,180715.75676267,171119.86797838,269412.170129976,226555.788032177,191960.236883734,233122.57155986,288594.981658507,195187.507941636,159984.951517642,210989.167015275,195279.4869113,208372.428135624,224559.633539504,166330.24454731,162713.603473286,212898.498028772,275600.713427901,248620.409938714,215661.075216722,159561.084631213,257055.242843168,267788.624320756,185148.016368269,238586.155604563,212955.374921788,149534.001891143,156452.279629658,228083.478170478,198748.694435093,231293.904915445,188772.375701128,212950.287058525,200136.656528745,183636.409394713,252437.419726594,220682.960015145,232526.141219737,209032.23487094,284433.15019866,222648.436250974,229287.295592796,181752.320913888,216386.912832537,168864.056181901,212463.870044281,249360.185148415,188011.043756941,195333.321740887,165085.294954946,170529.373305597,199305.304536866,218657.372425503,213848.52308164,225302.428219327,222801.870100301,179945.8754363,217501.827871773,244490.917156931,229334.069412071,273199.988980299,226175.834316672,212335.740892631,198272.170448571,229506.487682415,176933.211289289,193096.525083254
"errorsum",246954.606112574,243867.567586902,202267.167076939,204084.103035065,250224.637176119,246051.057351284,236456.264838081,301359.697805154,219124.954900725,186820.934895977,243800.859473875,308027.860658797,212780.171829472,188085.34523617,181914.792996505,239979.22861115,201235.462241797,201890.577231228,226956.939697739,264193.917802283,186891.857691936,209191.276478247,204623.179145996,223946.402553238,211072.886969676,199952.753575678,235410.586208001,204909.292197355,198792.154944225,203613.865109003,204413.800017563,197076.209697857,256246.177937208,209645.824326035,171108.258284627,249694.692603137,242927.712515221,224185.90311886,211182.493918258,195118.221139187,201271.218388875,230638.151720814,215434.189546703,242830.581369555,254162.439449535,191969.309176962,186434.77307313,228292.412485262,212896.640373005,227801.501801109,251902.859049537,270172.218812025,211839.010598502,237519.121724014,282586.673088114,217396.492729338,173836.657828406,264998.44267309,283679.193430155,187388.450834643,226870.889701246,218426.101465904,238468.979144657,194480.714803567,223803.326271732,187356.222279086,191927.575021941,231273.913686357,241597.952690855,233904.236965208,221521.391977483,204139.764031265,245492.108725519,143586.114785247,357574.889818631,223122.054935721,222084.079602403,278402.879390285,193722.012079462,289549.279093607,221069.360024918,267980.939192158,172044.976623433,181896.198795807,163319.044897111,252627.765588466,249746.686432376,307838.241452741,238802.156847278,231606.742290298,251986.285609237,197932.869689326,224912.550286891,282101.076035641,159030.107786928,161169.367744534,218554.728871747,185593.322353933,241551.621427587,253260.668899499
"errorsum",242964.762838031,193107.149897579,193568.210555881,239741.754278435,214994.778762689,261930.908060556,262324.428397979,277106.078837635,243801.099775699,230395.615650459,220037.936480901,221495.965740102,175294.052602353,206870.349505403,243981.166064979,315818.204952785,253480.452597255,206969.532530728,262275.359641906,239397.236206504,236755.541669949,232101.662394768,180355.219838139,189469.791233104,288009.969474261,176643.284064806,215046.467771584,212715.772250936,201483.485922063,243607.885351059,195904.08381513,215696.326763726,236794.011911281,200979.127626095,237938.769798827,243384.746042085,221046.779056826,201356.531864104,248044.407228292,315988.762196503,237251.637061842,136452.816201467,235262.223611234,222678.855295272,257078.234343758,169986.657167586,238192.954490714,206969.969446616,183887.234606528,150925.259403049,225282.515538596,247160.527736147,250408.603757366,180542.66070837,223031.045640017,308054.266341083,179147.938370754,244406.450841056,161954.874149455,177175.549450823,236314.160447233,224028.063815126,270511.673732224,280089.565747768,190360.187453801,160793.016810569,275904.671715164,241155.477447523,256616.710571651,236183.118789736,176555.448268185,246743.925206815,210539.555952126,195652.214439162,242478.165888045,236226.895070959,192802.007908231,228120.349579947,229830.34163179,239774.213328317,204738.504416578,193531.610687431,177538.635505215,187439.381791355,212104.989668635,250233.014557065,208976.436565953,286441.83145494,223860.546908882,200420.17030932,231537.074628441,214055.353921683,189506.759797812,199828.475210552,239377.864026822,171873.952056452,145663.905625433,320233.931480731,212124.017789832,198461.929659514
"errorsum",244421.319222167,182156.552144294,209942.812854494,187946.119203409,225414.154293698,244231.154978571,211075.374324759,218081.286694323,211295.914120584,232302.534797111,237656.428225425,196652.58163253,236308.993028104,247448.648953645,213848.870910135,237588.180741227,207916.223537894,203628.424533247,225994.700290987,232670.642331707,189048.155435214,222625.317657361,327313.644672818,198266.977235354,215045.809570496,205347.075465919,233211.415081205,194500.089805676,227751.560370759,209705.03713052,217245.561181425,244493.118257375,263339.08730397,250018.730849195,233104.069075836,166364.425655767,228055.099654221,273700.187659323,204858.229497399,284690.195621235,235755.835239245,322320.441083799,212434.424726719,261615.067497596,165421.967814469,236597.573889979,206797.698615409,204749.208220137,224085.964425895,186757.851508058,224165.71606844,292431.937270191,166041.96987424,199824.308995559,265541.553120754,196102.920338095,208061.392144345,214204.197785886,157975.06177541,196714.172503917,276665.460675856,227052.949179798,208775.131147835,186245.783298574,197483.976313764,177996.189569707,157108.286256052,163609.644953643,202465.016559729,162963.305349601,201409.463251573,226698.970304114,234515.083908976,204479.44456974,233210.451265912,198478.536924128,235350.148022628,229852.595989567,180512.589293041,249656.826021368,226881.605357033,148905.499443667,187576.779688314,163359.420961104,283410.184521524,176609.23533039,200070.75113634,231448.270751233,261055.991148516,193555.196507227,241220.897666595,217934.44101051,145442.44119331,236692.494712902,297353.248281919,203788.364002946,237568.958849471,261347.737983382,259463.274425489,247988.739220347
"errorsum",193462.36491817,181756.405019974,222633.887943104,261375.007106875,219773.000337755,220870.489665978,223443.024878676,215824.603487043,164663.400080415,186800.392752886,266243.2318148,223751.732777331,225323.742974302,222541.173883168,281533.960524037,254439.68862527,233267.491987055,170550.826252326,207436.224519123,202652.297588616,213999.804517411,242139.996215815,176376.650831831,204847.659621229,231034.868735418,253001.888787276,204687.134354221,214778.835586689,148040.454857088,223191.054098901,188784.717216917,262658.074429601,180016.563363038,249637.643964046,208434.729946851,210757.094763557,202293.975112447,189154.203807154,232073.506880655,251625.782843687,236868.202120487,174168.626981155,190697.013879979,163332.42955892,215859.464259441,173599.66362782,232061.805585709,219688.473287263,273704.791407124,255893.339754473,275809.049095108,220302.575750186,219400.865137431,253026.33024476,187131.957254954,170384.026702752,215133.251183864,262753.284681225,239459.208055822,223581.175249618,190301.783212258,237744.653763969,204548.104670732,241582.918799049,229820.499515439,252908.37305499,221075.943146896,176681.111583127,253474.68976356,234822.458695564,190516.182301915,234252.43674477,245862.495341207,264770.773188185,161578.081551344,236007.478932344,225009.742895336,200562.739266922,166032.802357546,266452.783226143,246593.55370356,235933.859230136,238632.864774834,237794.604194083,234555.418548351,191412.261810542,260455.191075058,279769.250853208,259803.654601847,257327.182614759,199794.316482889,250598.906373545,223793.563373582,259673.974427957,185637.954192089,235088.544628086,206081.872648067,210665.293795461,233408.904287218,203387.065070298
"errorsum",224380.768102548,213875.05297762,215597.638636888,156081.926041907,219587.760042123,264287.006569996,241097.882111664,254150.650087855,280843.460005905,221377.203451206,238381.949757149,195318.618842187,278436.877000256,226922.079412905,266621.682335819,203033.088783179,227539.110763029,210342.081660414,191320.651446184,172143.388963128,221385.231039844,192473.446438419,175237.368442563,182683.718378036,226921.59692855,170583.645682118,225593.100144467,278518.044700184,219753.06069674,168930.838375303,199559.695210801,182174.388238132,268642.71687581,149897.523437374,183982.022195896,301665.861592927,212270.295910785,187472.47187963,193068.869926697,231512.310840637,283183.982272716,173895.302783606,246741.37690194,214205.262449109,199336.052973124,184395.323336382,228290.529522264,191999.546486271,235346.007217105,306516.348216067,178581.588286273,235259.723842583,313917.939924377,254593.832819956,244799.232442791,203577.208708499,200602.690148585,215405.992174626,192773.222726352,211031.203937452,145543.138441922,282624.307966529,196439.41881818,182980.518368268,237383.357480267,218914.945530866,200116.38353811,255811.904673529,277976.221299532,260724.235730579,188580.254693118,251634.994794912,241126.934924235,191541.432703552,233993.565871892,214130.633842401,169090.953535719,257014.25282783,203690.780297776,218367.766153517,245676.484571006,217990.744047589,215160.562357802,199068.616949155,224422.654964571,182300.38059701,204802.573257576,225525.022527057,176546.473159149,259066.029819348,269311.654545105,230611.81693524,227221.759609421,199292.108999709,238804.578199126,260284.331439841,298052.93146762,223684.56853542,274848.063109413,216631.977963496
"errorsum",168838.401183779,202342.812733182,213173.024497173,201052.011161446,273607.979440822,152525.472205553,242377.449393811,177379.444677615,199948.801607432,187296.706105706,242313.164280764,271328.238688749,267000.58348595,242308.950242557,187601.717071265,228316.390500468,239334.422035992,194509.837977666,253775.570448894,259577.160332087,223376.685444608,220166.103380651,184074.223598782,259558.242024673,259838.543197247,169962.656451772,206755.15746836,208232.861435754,224613.156256746,199217.030580491,217362.325822172,238115.002605845,250156.524083579,174336.077617478,270418.518690602,224145.673733674,188457.255156769,276814.525532755,217864.796573038,185761.571470034,215806.897904364,194539.927166608,244129.509930293,287767.420651069,161635.531858359,210562.176285336,244770.87991897,265529.696246402,134860.424537706,176705.914522393,242946.368887406,181061.982589154,207055.091441738,229605.586358101,235003.866178353,193939.212130809,216877.427614215,165044.510396161,228346.381443637,281222.226208871,178170.644182908,205808.514398507,204541.218997724,204782.665067656,206203.397884355,247243.33313737,177950.554743068,206428.030978373,220957.683865333,237813.88330615,224425.016727698,203271.139896112,258539.084216559,210643.22306987,222606.903029748,208284.841176558,194368.131579139,227207.904963607,249829.272048533,223561.023533535,250979.137705114,200665.321499311,224354.898951789,250200.158157837,284613.975964388,184282.792456775,227687.294469275,243363.437599166,234434.041562259,214673.688298985,208638.457527442,225309.600048657,168147.716304275,172040.406497736,194269.305445442,203664.959314727,277826.210633171,227402.163873796,176102.908959639,194349.031108679
"errorsum",220535.3502836,226918.120239042,242224.662582754,274088.482721988,203010.746635332,243193.988150357,289589.853674012,230348.448389481,233109.53065772,204956.110194685,202219.187567896,248939.954677973,203749.373669283,235847.580968829,187075.523371873,179523.526733016,187937.419086762,292838.42399102,236744.584221626,215041.904670072,216656.767936997,175498.32719124,302814.727774745,284089.11049434,216507.464980027,228821.298478721,214713.421892779,221244.698857659,186064.844583411,256982.512412833,154501.470565849,270325.626080014,227318.123889641,223059.912467154,234688.591147774,231193.642697193,175960.643645277,230119.295150946,172385.208931847,200911.864137694,188436.409667378,201359.617912264,247586.697230503,283799.485926328,214189.07692423,184758.422453584,231401.703650874,242463.093409239,270372.541233866,185504.907379931,195737.405445215,170807.503847334,217995.018820061,284983.333782442,205010.159150613,238881.200539366,187146.540627208,203422.236637504,216971.675447567,236254.059510351,214861.581275539,241371.359023296,200665.383683128,191132.063259791,208404.341834506,206179.441912492,287523.427447943,190953.442874738,210071.565927307,223471.953363894,218492.261120206,191055.169398632,261152.516620989,195455.419719804,233157.836265977,227331.523226137,155237.619331441,223001.515101942,214886.38287252,240546.772948572,229485.172851452,236140.432090515,193366.394526813,208708.090229055,167835.811464737,231079.510358034,196696.628366459,171412.799422929,266918.907933379,212460.634222696,213261.532875486,187917.213739537,254123.924284557,161382.921715029,213473.264179148,212344.95111084,201160.192901716,228685.674495257,222826.770026722,233966.2967267
"errorsum",224684.872352354,209443.892842156,201609.696913025,198288.862623485,216394.447089064,193012.246892347,269294.304413419,225092.174420351,193355.416282358,294609.696565431,270856.97555451,188454.642176606,172055.257021923,220326.856686773,179612.563690938,185714.676303748,254136.574262978,159259.74664545,170091.863091393,213035.08751741,232963.393237165,207635.028958836,219172.269538413,244944.314750272,186317.561302967,226311.217594971,219015.174059798,244538.856037967,232767.409826008,260172.767974616,262655.527073671,210642.740905575,230858.887099323,235357.431255804,193212.446608435,215339.672658474,294543.580730158,210070.735517879,217719.340126497,249459.600666965,193643.910532825,186232.333469855,194079.626178427,191392.281360311,263471.484522488,240025.179694173,246329.529198979,216157.849072228,304741.71306663,232603.639408687,233101.611250995,238806.446112539,166246.047447521,251896.166853345,256382.555354347,180947.7981022,223758.238640808,157667.010732411,187943.285749401,276911.539346548,224179.91325209,179911.710144159,210970.663453593,253932.841188585,189164.351436608,250294.255608287,258445.283313819,221322.802190754,185020.172877357,190983.201078492,176549.834252541,222606.293223285,240293.431109586,244766.652770699,226241.883449239,214271.734780858,239785.169114868,215723.203270213,234152.264085891,233091.79872576,170575.55111458,235614.605890469,186995.842955649,226161.483764479,276892.894966382,263833.009317486,202330.787162398,198701.038510259,211910.220719329,223950.678768635,252101.888634695,196610.425198139,245822.330469703,177844.119549039,232554.349141596,274345.515113649,247685.881353515,301326.292455622,174349.239179775,185765.273048015
