"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"errorsum",166330.853201419,34179.261537178,33622.2708835525,33071.6700249265,32466.0503894288,31792.5200122125,31098.5559693288,30372.1153713973,29626.1487168267,28864.7778390359,28088.8153152587,27307.1434224028,26522.6426937903,25739.507848159,24954.1475846321,24164.640922578,23358.880394367,22520.3747816414,21662.8702673468,20787.4858670139,19905.8719269866,19028.8498606584,18210.1190178568,17537.7037134086,16878.3878306283,16247.2346634786,15675.5036428072,15273.9554884846,14989.5471104393,14727.2003667401,14505.6288894334,14351.3907764046,14237.1007857319,14175.6089777975,14121.9208141608,14117.2704258419,14156.0461199121,14193.7525199158,14236.452270965,14329.8307719651,14472.4374371014,14634.5836555055,14846.6172962686,15010.2117372409,15238.8538030725,15519.0632002244,15861.7551985941,16243.9619738999,16596.2104513478,17002.5812781536,17451.1992696749,17962.8550290512,18519.0361781245,19133.0454153418,19855.8702727459,20698.9406504394,21745.8013444462,22986.1804329729,24489.5562397705,26204.5635848131,28157.5603672222,30453.4135517904,33157.8972384841,36419.3859264765,39819.6558361368,43680.4154778406,47448.9159413769,51820.2224017404,56650.8292288212,60687.6682316896,65443.8734865194,70879.4554846838,77121.2842754054,84457.8557911649,91924.2719534246,100666.499811277,109810.526994175,118747.078454794,127532.635585462,134010.25343554,140112.565117918,147114.530569292,154301.623628571,159167.818551239,162533.672378436,166330.853201419,166330.853201419,166330.853201419,166330.853201419,166330.853201419,166330.853201419,166330.853201419,166330.853201419,166330.853201419,166330.853201419,166330.853201419,166330.853201419,166330.853201419,166330.853201419,166330.853201419
"errorsum",159631.209372746,65097.9613174619,64140.5738756387,63233.6032348948,62187.346287237,61156.3568421776,60015.3606422077,58755.2596403533,57448.8113961652,56093.6951755117,54627.551454839,53148.7733147168,51825.1848419989,50667.3817461023,49462.4930363335,48236.401259419,46827.8147454469,45526.4069923647,44253.8945496194,42917.2468193483,41600.5382583469,40523.7713593528,39227.9843384467,38075.2874001759,36915.6859542281,35705.588765708,34698.732774539,33754.0897273085,32842.0378261364,31997.046407659,31215.5194554072,30452.8044171089,29766.5478937095,29042.3474783555,28411.0333559327,27872.2192599367,27465.7007444523,27121.6849017294,26835.3600167912,26615.0715845405,26445.7878235469,26281.0264187504,26140.2409914625,26021.7333644273,25943.2377895014,25900.7529451999,25902.5567519651,26019.033639042,26268.3088538153,26632.0891313761,27124.1282406659,27752.5398784146,28623.7393843602,29404.4671508047,30275.5047067663,31257.9501162901,32431.5427057702,33795.0309125573,35256.9131236661,37105.0980481741,39346.1593113915,42148.2865516157,45404.5584348196,49199.9329553784,52955.6244192188,56982.4012979891,61713.4638093807,66287.1432127398,70587.1275198183,75994.5092412266,82377.2774736932,88596.7152147641,93682.7866767255,99611.7613185887,105800.074097277,112190.803384586,117688.794484427,123266.637485724,127031.885713142,129533.329561369,132448.071638235,136182.046577249,140923.729223305,146901.988206764,154394.449851973,159631.209372746,159631.209372746,159631.209372746,159631.209372746,159631.209372746,159631.209372746,159631.209372746,159631.209372746,159631.209372746,159631.209372746,159631.209372746,159631.209372746,159631.209372746,159631.209372746,159631.209372746
"errorsum",207239.915663899,33748.240108197,33036.3357555554,32304.8048038304,31664.3225852334,30828.9568355915,29738.821093906,28700.0768691064,27718.2014266989,26813.9147363813,25994.9124570266,25279.0239922674,24608.7256309972,23947.2746425894,23322.4734781491,22753.9518986548,22264.7933752758,21827.2971187307,21564.0272310403,21334.9111208146,21097.7394761691,20845.7639447151,20613.3313036601,20430.8361447121,20195.7820254235,19912.6805362323,19690.7053242089,19509.1601224031,19390.9543222054,19279.6215627116,19202.0860966233,19160.3236148378,19158.939965665,19217.2860916033,19349.9835591129,19364.4810717834,19432.2813259097,19502.1694771799,19589.5919178909,19713.7515844972,19765.5876585384,19892.6088511507,20027.4202696231,20204.1703462726,20508.756509332,20582.9825740888,20723.9349460738,20947.1565456703,21260.5225519553,21640.6516803932,22098.4663619643,22623.7603483049,23443.3519935013,24542.761023649,25840.612554752,27277.8611180829,29024.3466747153,31258.0692996823,33824.0167873419,36825.6045955438,39996.1646399016,43505.5581936707,46965.5547531219,50360.5017000261,54263.8134266701,58769.8026443845,63916.7805262053,69862.8751474226,76224.4056696538,83178.4595721833,91001.2744236741,99289.4207210024,108094.704139973,117591.011118677,127785.542905636,139265.280206043,150248.315265796,161442.549334615,175013.372644208,186565.846772979,193338.185736196,200783.993988499,207239.915663899,207239.915663899,207239.915663899,207239.915663899,207239.915663899,207239.915663899,207239.915663899,207239.915663899,207239.915663899,207239.915663899,207239.915663899,207239.915663899,207239.915663899,207239.915663899,207239.915663899,207239.915663899,207239.915663899,207239.915663899
"errorsum",185243.810276996,85004.9047948841,79284.9594778536,74327.5906888602,69389.9209868826,64267.3578122163,59107.9366551245,53751.574851669,49243.2164180021,45217.5493588276,41373.3728970972,37379.4267518207,33501.8610999354,29881.8456433688,26530.8249081405,23520.9914085623,21279.2274625408,19452.1736327801,18218.8575858471,17347.9850695308,16528.7797600794,15628.2909808265,15049.900957158,14532.0323588046,14061.4546622149,13700.9104765301,13430.230674931,13245.2255244,13082.6355376529,12960.0030902087,12910.690017124,12883.7845115941,12902.3364021009,12992.883869414,13149.2007075861,13388.9744914853,13688.8057994857,14032.9386127351,14290.2600636984,14531.8906813845,14816.3705128805,15160.2545334715,15551.6985464662,16002.1767260438,16530.1236212694,17148.3081778088,17861.5773996909,18692.323087616,19663.0167020488,20802.3593666607,21920.6119248246,23197.6144424668,24574.7521477995,26054.2642441889,27620.4231505273,29394.5458566263,31414.2735590367,33849.1800884907,36580.873205399,39745.4776281274,43223.1513065582,47250.4735462572,52004.7231019444,57364.1323992198,62689.7846127769,68210.2403182187,72435.9861770236,77320.3057136878,82898.8609167227,89002.4208918691,95791.8283500264,101570.07448798,107569.849307355,114846.414861065,122897.225898597,131672.871348666,141827.859998635,153360.639894639,165121.596201019,174447.743174797,176360.291686967,178810.743110438,181923.411360725,185243.810276996,185243.810276996,185243.810276996,185243.810276996,185243.810276996,185243.810276996,185243.810276996,185243.810276996,185243.810276996,185243.810276996,185243.810276996,185243.810276996,185243.810276996,185243.810276996,185243.810276996,185243.810276996,185243.810276996
"errorsum",168567.453810851,24030.7096333482,23938.6132891421,23840.1172465183,23726.0923613406,23600.7098144503,23477.8669200493,23342.0950966261,23186.6385145272,23029.8455179491,22862.5416477736,22683.6474936235,22496.037762747,22298.1250446133,22086.7570544409,21883.7865138354,21646.1459443637,21400.5790923486,21150.7406270668,20937.3115713546,20728.9525496463,20502.8217190083,20255.9478099216,19983.3181364382,19689.7118710599,19358.2738557756,18976.7032451849,18577.3043863236,18164.4903117806,17583.2241556853,17143.9628323544,16728.7442932841,16445.1245162852,16199.4199540976,15986.0935872631,15765.4019268266,15525.0179739312,15294.3937654231,15087.2527980644,14957.9961714977,14864.2804745979,14794.4466882116,14751.2972444247,14772.8991765819,14862.0258755613,14936.0625038298,15016.4549314212,15181.3750675569,15378.1999520893,15644.6396092911,16027.6281683587,16491.6798865243,17037.4354382166,17745.1614919844,18617.4839103745,19640.4950259168,20661.2916333529,21995.4733438224,23576.1243120259,25429.2060103784,27611.6000146017,30231.8158365859,33347.3242176801,37017.9974685102,41185.6230822853,45733.4262223927,51087.7902204077,57413.7302886705,64657.8789558147,71439.5473362434,77599.4467557543,84146.5750030646,91364.3273276894,99438.9316266585,105499.676653725,112030.009799765,119744.039832002,128671.936021576,138035.287704348,148886.859344722,159598.251009944,166674.536182234,168567.453810851,168567.453810851,168567.453810851,168567.453810851,168567.453810851,168567.453810851,168567.453810851,168567.453810851,168567.453810851,168567.453810851,168567.453810851,168567.453810851,168567.453810851,168567.453810851,168567.453810851,168567.453810851,168567.453810851,168567.453810851
"errorsum",193481.661705297,28346.0575631497,28218.0302034357,28074.0606452743,27897.3817814778,27696.6474214384,27475.5903759343,27234.3047887939,26976.6962749416,26702.9192837235,26408.1834692301,26087.8493607811,25741.7135325572,25356.9105518565,24944.3666182339,24551.7267043549,24179.5786336122,23759.580204824,23296.1212030795,22813.0974491591,22311.8298416049,21796.7249418087,21267.1014128904,20702.5490933942,20117.7876025429,19523.965059067,18946.1966651617,18441.8646761005,17928.5787157873,17410.2832286232,16900.4202220435,16399.670148393,15957.3027233627,15582.16899949,15221.9284119833,14875.8911666257,14447.6832159066,14032.9221092235,13622.719626865,13278.8775975637,12975.8308376759,12728.0513184798,12519.519370213,12335.7168731089,12214.6949477529,12151.6260239413,12184.317086838,12348.600202855,12726.1348310334,13206.1883362159,13835.1747088497,14520.3721990475,15240.286663125,16167.1367971978,17222.4478521907,18409.7113899943,19701.0365855529,21296.5052861297,23220.8112664151,25514.1385429078,28206.4445679411,31364.8906959966,35157.7494801978,39198.4870325842,43708.7559043519,49031.2029024007,55333.4661754714,62170.7160176371,69262.4885739819,76327.5832333788,84126.1823289243,92453.6376130852,102020.610240334,113297.80957002,124743.555340263,135548.352392666,145777.182064482,157332.406992939,168039.183332865,172724.284701142,178498.586929745,185477.798016219,193178.378466795,193481.661705297,193481.661705297,193481.661705297,193481.661705297,193481.661705297,193481.661705297,193481.661705297,193481.661705297,193481.661705297,193481.661705297,193481.661705297,193481.661705297,193481.661705297,193481.661705297,193481.661705297,193481.661705297,193481.661705297
"errorsum",155855.022050716,78093.4343391072,76646.8287974396,75103.9142672895,73470.9922112781,71699.468793547,69919.5122973738,68507.1930122722,66863.5284817111,65230.8726247629,63343.8141824145,63067.7561002352,60861.0767943614,58595.2301262309,56389.4126176377,54215.3494940993,52483.1143445628,50826.3416821323,49084.8471500742,47279.4404926894,45482.2509384868,43637.7650376657,41739.966727474,39818.6239212037,38008.2210939465,36334.4201700995,34833.0504501885,33681.4671546115,32343.6594209919,31016.2486684892,29703.1066953961,28427.0684999746,27366.7866617839,26407.0751863132,25478.9448826146,24521.3668215118,23418.8935823398,22365.8175289368,21516.7577092945,20724.7925817313,20090.0920775917,19721.1952574766,19377.5476266979,19104.3139104944,18897.8315980691,18833.5772837187,18882.4463304262,19147.8510095016,19459.4608521955,19841.5000301233,20225.6124215525,20719.9696732897,21254.5897509804,22105.6824746637,23209.425521414,24484.7617730148,25864.0111912674,27422.0832203993,29108.8058745673,30921.971210506,33129.029750801,35876.4385606531,39156.7610645806,42858.8552580117,47135.2720540628,52054.9048221654,57427.3217962368,62841.5600921027,68852.0682706066,75688.7570203495,83589.7382622932,91561.1544690604,99421.3155913244,108796.778981974,116916.389522204,123661.754315254,130554.51839808,137586.428995135,143739.315735274,147100.451325155,151272.673684235,152682.031911642,154064.606158846,155855.022050716,155855.022050716,155855.022050716,155855.022050716,155855.022050716,155855.022050716,155855.022050716,155855.022050716,155855.022050716,155855.022050716,155855.022050716,155855.022050716,155855.022050716,155855.022050716,155855.022050716,155855.022050716,155855.022050716
"errorsum",182895.398254298,34812.2507510406,34296.312754556,33827.1925654659,33414.4450726318,32869.8000514573,32097.8514446065,31513.3739460742,31084.4410579845,30577.1531611026,30020.7779055215,29356.3875532489,29032.9807648479,28248.42457038,27443.8175820148,26623.1001781755,25789.6312581868,24944.9653661842,24087.9621219961,23232.8298728436,22363.0813356315,21464.96911291,20560.3840516756,19621.9823237543,18731.4658323147,17867.1155185114,17030.2391045758,16237.2385316361,15485.1507056037,14784.6837018583,14140.959179453,13632.2602723683,13161.7947885845,12714.2569351323,12295.6641432552,11916.2694159232,11589.1065059445,11302.690044574,11075.0960099599,10910.9172033414,10839.353407719,10911.409946169,11054.2718314747,11280.6517785061,11595.4431647108,12006.7876665155,12547.5728921843,13121.0516035883,13657.1799684503,14171.258484362,14795.5185090789,15538.0000142291,16469.6610144468,17578.9662860381,18878.9982194947,20376.7409696528,21905.803154754,23428.7246403699,25238.0388859813,27392.777992485,29473.8315823719,31718.2536444796,34203.4488756074,37152.0423791045,40616.5683953614,44711.666044827,49533.8902292118,55119.7694021133,61691.862179448,69585.9265034391,78696.6427022945,88854.1819265839,100141.129591527,112192.07974309,121132.343223222,129035.841808435,138245.330099587,148467.680873307,159221.15683417,169998.845350889,180231.072775951,182895.398254298,182895.398254298,182895.398254298,182895.398254298,182895.398254298,182895.398254298,182895.398254298,182895.398254298,182895.398254298,182895.398254298,182895.398254298,182895.398254298,182895.398254298,182895.398254298,182895.398254298,182895.398254298,182895.398254298,182895.398254298,182895.398254298
"errorsum",180428.694057268,37429.9131415184,35453.3924111374,33316.909392166,31814.1891744618,30276.3394922539,28715.995012944,27175.2282761384,25663.2158762902,24158.5495851815,22697.4003420642,21481.7111728879,20676.0660685973,19549.7157603569,18437.1879497757,17460.1717675167,16493.5269582886,15573.9165826495,14753.6530035878,14085.523697534,13594.8749741978,13248.3611360946,12909.7295274372,12582.6631771364,12249.2784108861,11898.3364634117,11525.8734001012,11172.6884442671,10806.6825770836,10387.8284208804,9970.37694334137,9560.27547586028,9178.70694376524,8698.0295033023,8335.33822247995,7982.97064375913,7765.62764882907,7589.79013272571,7459.3889850908,7302.21698540533,7174.13759839088,7083.99235425631,7041.24498639837,7082.89288259191,7202.53077871518,7389.64793371909,7665.97801333365,8043.56312236832,8469.68319385371,8911.03702050239,9505.99685488303,10131.5571870291,10897.5334547065,11771.2978830054,12789.505993169,14020.2229675236,15436.8415138195,16790.8032621423,18161.5059298726,19514.5164746051,20972.5200979647,22674.7975798456,24715.5413590978,27163.3582635042,30099.894498994,33614.079445474,37780.4309262634,42741.843565576,48436.6630349938,55035.6071314456,62432.4603819768,69867.3536902927,78403.6970069743,88679.8668182234,99492.9195088473,111399.068598399,121804.176061213,132277.040529257,141371.587020875,149761.762803847,157491.544395761,165569.828714925,175293.442366614,180428.694057268,180428.694057268,180428.694057268,180428.694057268,180428.694057268,180428.694057268,180428.694057268,180428.694057268,180428.694057268,180428.694057268,180428.694057268,180428.694057268,180428.694057268,180428.694057268,180428.694057268,180428.694057268,180428.694057268
"errorsum",144687.788288057,36172.2580464918,35808.8809390374,35426.5897929668,35016.0656190672,34565.4895060758,34087.88354349,33590.883483767,33031.0469746181,32441.4096880354,31799.859944155,31109.8748057415,30374.4189802436,29604.963021495,28786.9014227512,27918.7018885583,27006.376668336,26065.6838902307,25113.8996331711,24279.1293382279,23376.3483296203,22485.6688071794,21583.2929503814,20651.0051896433,19750.8582621809,18782.7057284365,17864.8279180327,17005.5406282512,16195.4314646837,15518.2470662378,15048.4285494044,14681.3496981393,14434.5652004837,14436.5331935364,14500.2418060503,14452.0207428993,14510.4291602394,14657.4527824102,14942.6132714397,15378.5278735208,15922.9958206889,16620.9531368415,17393.384295617,18145.8063277005,18834.0779712111,19596.2532051513,20497.3972389811,21555.6810495645,22812.0320908985,24267.1471630034,25907.6604785984,27870.8476508756,30016.3790702882,31822.3595030168,33606.5090606474,35424.7946066842,37214.546065563,38868.4065152718,40881.1729213235,43301.3780639586,46107.6006737355,49413.3374590951,52885.5547682771,56058.4184105416,59530.3577866039,62301.2896235843,65356.2125465391,68972.3235524728,72404.4967781608,75639.8229710394,79557.9623675165,83878.653095068,88791.6816825901,94284.3177228751,100936.137660075,107494.835321602,115051.351822184,122639.239545776,130502.966603133,137151.814265504,140889.688811632,143467.132261261,144687.788288057,144687.788288057,144687.788288057,144687.788288057,144687.788288057,144687.788288057,144687.788288057,144687.788288057,144687.788288057,144687.788288057,144687.788288057,144687.788288057,144687.788288057,144687.788288057,144687.788288057,144687.788288057,144687.788288057,144687.788288057
