"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"errorsum",442576.990325628,41825.5364955343,41271.5359684179,40862.5226963806,40115.348907669,39250.8788252007,38376.4428120305,37621.5260011104,36821.4302344578,35959.3298392653,35084.4711801533,34207.1867231036,33321.6665174353,32426.5739940426,31542.9201340007,30662.15271903,29811.5901007916,29094.5502898331,28448.9537244166,27838.3407159143,27300.5266734061,26775.5411557281,26325.0306081517,25943.5934843853,25666.4352231742,25471.6464573428,25296.0830819172,25209.8940880697,25205.9298330709,25285.5799184154,25408.0007052443,25618.139644992,25962.824771938,26287.8221774984,26795.276086476,27195.3856663023,27869.5611385709,28518.0461112794,29524.0802772212,29924.4653803109,30620.0076910821,31326.2539601504,32118.1107609931,32811.3201616618,33840.3236061045,34958.2582844654,36298.9145970414,37782.2312346265,39452.80277827,41388.6092464646,43662.5293919197,46313.736940903,49213.3825831318,52069.093778982,55193.9641244302,58231.9117852829,61238.0977061127,64489.7001375364,67239.1545738575,69627.3679543345,72572.3133250793,76141.1145740723,80299.1813655219,85329.8649774138,91243.3866769401,97439.2959678395,103792.702405673,111311.267365542,119513.276954568,128518.637401339,137193.08796478,145326.463960554,154598.894963713,165279.546274419,177241.030462558,189262.935897229,201817.274225913,215842.187548586,227194.784360507,240529.364945519,256886.525921825,276982.349816305,298897.98865798,318129.26963472,337359.905559248,357780.16112452,381993.550061905,405085.325721061,426170.592019497,441233.54562185,442576.990325628,442576.990325628,442576.990325628,442576.990325628,442576.990325628,442576.990325628,442576.990325628,442576.990325628,442576.990325628,442576.990325628
"errorsum",441785.017884981,61091.1603993339,60344.1995298787,60887.2094559105,60425.6221327487,60007.7230507029,57447.8932805608,57447.9029117152,57382.1088879296,57290.1144554555,57143.637866784,62444.286292811,62360.8885374729,62124.1976759255,61819.2952611302,61509.7690971509,61490.4455976715,61623.8513296921,61816.3392198838,62087.0442335969,62368.3583203521,62626.3156450117,62732.9557669959,62694.2540194789,62506.3256274453,62367.7488843196,62221.0434007498,62153.5846781413,62092.2168848765,61950.5947791238,61807.8020850343,61678.7116521483,61526.9184069966,61338.5574195109,61160.1716031129,60998.5178515578,60863.0802269627,60742.6154448126,60700.0960362184,60713.7442910163,60773.2719899944,60947.909644519,61420.7970951872,61956.9994338749,62560.9908978281,63280.3398090026,64151.0325209717,65206.6891066888,66709.7948881123,68433.2458864845,70579.2135273274,73638.7526696128,76752.1712433418,79527.6896419184,82157.9519364562,84564.8462227906,87128.6305266308,89713.5735714563,91924.3301755056,93139.254608751,94816.4718271452,96554.197841537,98726.3740356731,101601.257951294,104834.213142317,107652.348843363,110336.334394752,113586.60377824,117772.532816284,123286.661913159,130135.4238085,138018.885111546,146946.102314272,157635.971842678,168508.853869613,178357.233396787,189086.563902536,200834.082926149,215182.897049543,231268.364797829,245086.408675796,257975.076416909,271472.365994817,282878.189749001,296550.366582021,309706.720723123,322252.662196285,337862.866208559,355955.394393464,375509.658878342,394564.962216728,417075.423014114,429465.450750697,440231.139001038,441785.017884981,441785.017884981,441785.017884981,441785.017884981,441785.017884981,441785.017884981
"errorsum",370668.587676215,41693.8372087688,40849.6694290571,39609.012915737,38476.2610330947,37336.480143205,36369.7846162513,35495.2121173044,34512.9895919204,33448.4670361318,32272.9856880985,30887.0509284431,29498.930675224,28330.0309594077,27160.8832509751,25962.0317453184,24795.0188643857,23674.3922011679,22606.1133206188,21606.1754921567,20696.0137472283,19872.8577956121,19239.1717872658,18646.4692120927,18113.4895593165,17692.5918876188,17524.7020468985,17610.7668799144,17756.2320364551,17969.2627363937,18260.0885699888,18661.3779434228,18932.1063379463,19149.2166644019,19408.5937510948,19706.0303666151,20062.3612725837,20461.5092354495,20896.5797895522,21069.3360720154,21103.4518386862,21213.2378304342,21399.3292587351,21680.4793955913,22035.5929203704,22407.3976029473,23208.7083078214,24304.4622564975,25615.7663500232,27100.2192584831,28668.2258292606,30040.9759892009,31677.1719154278,33594.0726852889,35700.0404274238,37744.4854717508,40046.4971766957,42049.607780825,43902.684306366,45996.9493207735,48618.0926470163,51791.2094829177,55624.6247148399,60062.1772845532,64547.2549571481,68965.2260150978,74218.2268390199,80487.1437919757,87142.4327302595,92990.64174501,99659.0192407042,107615.554506401,116012.153670834,124599.404331036,134673.421405477,146573.26674308,158812.137437985,171152.71119348,185088.056932641,199516.108646615,216519.594357535,234886.763613676,249787.057504524,260332.472879541,273507.165911664,287662.393510036,302230.690474415,317288.734708959,333123.432682311,344355.215171562,352787.210557388,359231.859458371,363844.792723669,368673.397251881,370668.587676215,370668.587676215,370668.587676215,370668.587676215,370668.587676215,370668.587676215
"errorsum",293334.378357525,48889.3798236675,47566.2232239039,46245.5315104473,44934.0348771998,43687.092874356,42321.1492268292,40747.1333778007,39032.4179337763,37711.5250586919,36992.9814725338,36400.1656350279,35782.0690240031,35330.6289658324,35095.009649251,35234.9912133594,35578.2643936028,36052.4936287355,36684.2479429302,37354.5046086518,38026.3613639338,38775.867046659,39566.5804032084,40385.8505908842,41210.2117421004,42039.6791507277,42865.1410332368,43692.024482567,44487.6191398691,45298.3331210872,46032.4135978289,46680.4935091559,47226.1813442904,47868.6648615157,48476.2966382423,48894.7562969697,49192.1955930652,49416.9814777897,49580.4310545346,49627.3143092987,49566.4556070444,49372.0947659298,49054.5076138351,48791.1517766574,48644.1891041809,48659.8006327561,49077.9852784118,50005.42683331,51137.4076113204,51771.860303636,52523.6409217475,53300.4579980959,54170.2899724587,54946.5038096411,55925.8885367327,56952.7157727693,57556.8010398558,58050.5765555577,58572.283075211,59279.2472871119,60625.3416990431,62667.0092999202,65482.1969813303,69054.4260609546,73044.3129660993,77547.6765231699,83669.0251578869,90020.7401240344,96223.7123999024,103276.665825154,111475.520013413,120624.330667802,130970.696667191,140313.977185814,147933.792684296,155107.885865366,161845.230407902,166789.442545038,172263.003923006,177291.165216977,181901.212719061,187688.081856224,195170.053613932,202762.528268863,211568.84959779,222185.020914635,233562.028016112,245511.147760825,257498.222275044,267076.810682337,276148.501749388,281478.192799025,289322.401961357,293334.378357525,293334.378357525,293334.378357525,293334.378357525,293334.378357525,293334.378357525,293334.378357525
"errorsum",439343.255761448,107700.911231697,105788.423655571,103344.917563089,95911.2827653378,93288.9942231057,90693.7701455186,87965.0049375509,85126.3035957313,82078.1194735745,78929.7172161928,76078.2161713447,72944.3107706342,69873.203160138,66806.0413644446,63734.4303066521,60677.398742325,57655.3305920894,54694.1247383973,51830.1921015995,49082.4186476475,46487.3687800272,44019.1109356601,41924.6813802407,40020.6791167578,38303.3243688299,36795.3589466657,35510.6362599575,34396.2811516548,33411.0830128186,32673.6273140287,32189.486612583,31980.9019394973,32109.9525422684,32680.4177977945,33646.3774972368,34183.9981396752,34555.8822034272,34642.1433072967,34895.2593482378,34993.9211062012,35165.0310037012,35511.1715876793,36055.8420313593,36830.8622866821,38043.5492187634,39560.4337690119,41418.8889670011,43604.6869715433,45795.6406981607,48110.3363888059,51064.4343584633,53137.7912468574,54858.9539888625,56932.3739802206,59398.2588393911,62611.748659815,66267.7516418415,70457.5203620842,74849.1178544222,78811.407466273,83393.7398077205,87631.951776499,92365.7507546562,97796.9585610941,104140.355689163,111586.29666245,119671.779691988,129060.24539819,135852.806512324,142377.477733148,149539.185381305,156651.04261014,164068.477243802,173000.137056747,183767.59849011,196866.420930173,211541.248678759,227158.115340268,244549.77377212,262903.419088081,279639.60159674,294190.374285853,307587.725051137,323599.353565096,337441.244271284,349889.749594279,363629.706750185,379438.292642906,398134.851599134,418828.94099905,430326.143236246,437475.339569333,439343.255761448,439343.255761448,439343.255761448,439343.255761448,439343.255761448,439343.255761448,439343.255761448
"errorsum",483041.435069498,64545.0599216527,62970.2673182745,61344.102880345,59675.3301843051,57979.9707307724,56485.9058575971,55644.3781745469,53881.0048059306,52979.8726666554,51546.4552093692,49775.1874835558,48364.4024025117,46787.99052442,45080.1096905977,43346.6819665367,41555.2267205336,39803.8950456318,38142.2655921802,36566.1368858005,35081.0651947365,33689.5443598344,32395.8822721589,31203.0776841879,30110.1538057116,29152.8466362374,28343.5750978437,27559.8608448946,26816.9719237299,26242.5842622411,25883.071179327,25591.3997004161,25348.2568428235,25161.6635406984,25034.7728900611,24973.4516393686,24983.1495203102,25057.0753127108,25045.2539673366,25106.6938388501,25275.3621605789,25685.6895540832,26339.3446253661,27095.4120969349,27971.9033299892,29026.9005458813,30264.1803401154,31404.6855904537,32731.0467523977,34290.9340985894,36102.6165246202,38226.5840925373,40600.1201127788,43125.2149293356,44859.8459403129,46865.860787484,49221.6304254818,51962.7385178882,55158.6531739614,58651.8313787685,61887.4906110468,65904.8123001462,70690.1693677272,76409.9098966669,82002.8721987587,89001.3333888618,97530.9230271442,106741.698794847,116278.028183551,127138.763741966,138416.707820491,148751.467794766,159932.498959766,173131.423852345,186894.103089988,202358.191443082,218525.94271264,236543.197696279,256987.655406606,277937.71836461,300484.901123299,324752.051366923,339335.83999183,353587.202573291,370632.886695009,391086.000426837,410935.727775128,423705.799429996,438919.023659289,453549.019381235,466798.170618101,476607.038000099,483041.435069498,483041.435069498,483041.435069498,483041.435069498,483041.435069498,483041.435069498,483041.435069498,483041.435069498
"errorsum",475392.098837757,41948.1615623785,40391.3940822829,38828.8995028056,36845.9587667944,35121.80668492,33812.4789951234,32328.3525809938,30393.2048026744,29103.3291240186,27991.1914332017,26942.4723157336,25933.7035662165,24945.3035081671,23915.0172105848,23348.5557223157,23489.3079100868,22666.9343975553,21867.6312738037,21129.7850328929,20450.6428685003,19818.3672471974,19184.0472222612,18612.5935358421,18078.5222912872,17583.2438331567,17154.8733070626,16883.8139369031,16674.1973822972,16557.5411160493,16523.5532008306,16586.7304626652,16765.4137847465,17079.6226355276,17551.822131882,18168.0193335704,18877.7110107581,19687.6038503565,20593.5244356847,21596.7973074799,22704.7741107245,23905.4613821855,25077.3241194516,26264.1594033406,27449.2881993957,28681.7351467029,29940.8226572393,30996.6433245467,31996.0870620187,33134.6529404346,34364.9568364228,35762.9763892079,37335.1111656244,38861.0268210852,40608.0305581191,42652.242709025,45260.0281477725,48282.8396266053,51827.4703289287,55885.7631530452,60557.7261801841,66025.5396090489,71769.6348591467,78160.7175989203,85077.403245434,92715.8694205564,101315.1060165,109279.183274144,115828.250002479,122888.938176343,130907.421357954,139125.385253738,145436.738023835,153498.421810132,163249.011739922,175394.101124168,186795.344611104,198423.118599471,205776.243769607,213403.123307072,220264.327721646,227727.684471103,236844.495388963,248270.729627853,262186.093397493,279277.871606866,300412.804513706,326091.864154355,357267.330899712,391522.921369968,426681.672809816,452682.307770775,465797.86360066,473905.552319282,475392.098837757,475392.098837757,475392.098837757,475392.098837757,475392.098837757,475392.098837757
"errorsum",367898.853046936,50331.7292569361,49961.9711556891,49539.2882607521,48948.2253812771,48285.016174336,47450.2453509518,46563.4843752277,45652.6456524799,44753.4856241569,44175.6885060637,44365.4943655289,44442.4360546227,44343.6802882684,43931.4110466892,43441.863927916,42884.4338710087,42287.9307112253,41442.5622652434,40330.8393547166,39277.6392698945,38286.7074074562,37345.5476668607,36464.5903140708,35648.8290599675,34918.3572332718,34288.7710371525,33766.254410302,33357.7420023044,33074.2733647856,32920.5832428916,32924.0220315715,33106.7162682199,33497.6397885095,34112.574444707,35079.6312357878,36298.9049054243,37535.120391145,38436.5479534878,39378.8592170707,40330.0140349452,41400.2747946713,42560.771390133,43828.4278732357,45207.4329821214,46735.1358811164,48479.8959209999,50397.3449835307,52474.2579318668,54593.5623171891,56885.3849945879,58813.6427012203,60697.1160210001,62645.4516087877,64840.2138100857,67470.4672064161,70596.6546677846,74108.6193412559,78231.7018053004,82220.7058960753,86342.2427396296,90874.8760730219,96005.3199464889,101300.733644439,105281.712575688,109843.556683312,114916.082020033,120661.495088824,126682.830158936,133427.859068658,141318.694287016,149078.346146803,156363.750460313,160954.029774752,164029.307850392,167918.444887211,172328.984664789,177852.539083062,185499.749938439,194962.333449922,206557.875347973,217989.969708935,226084.150316399,231599.688463972,238912.679395689,246921.481682019,255806.228160773,268908.801930004,284669.761719913,297094.353849907,308093.780134022,320951.374100186,334031.686917279,349297.599098178,367898.853046936,367898.853046936,367898.853046936,367898.853046936,367898.853046936,367898.853046936
"errorsum",419315.037484551,51560.9944090229,48583.6915397884,45728.5177349048,43150.5916056598,40706.8289844721,38468.0825040403,36225.2953765742,34190.105008229,32350.4804884325,30715.9203063594,29302.2198066378,28054.9474864285,26967.1180243232,26007.2298802641,25175.8828212649,24455.7365599701,23729.7990710837,22900.5954036045,22192.7972276933,21675.4734382518,21187.3610519366,20736.2651874039,20339.978648922,20009.3544198102,19859.8343936522,19772.2023733275,19732.7489479575,19749.2743237588,19785.7923618072,19837.653032607,19919.9544628087,20030.2029695555,20215.40903421,20433.8399408893,20543.8986664745,20658.0660972591,20812.4117509285,20982.5980342268,21173.8839833814,21391.6382566369,21510.4414952808,21650.9002533011,21847.4014470184,22137.8574282916,22542.7043515442,23043.1337533785,23657.3707935693,24344.4312210593,24941.2400053153,25685.2611842448,26612.9981941956,27646.5169050305,28943.1650269504,30413.7830309296,32102.2982130747,34017.3046366227,36300.2349262163,38442.6069184608,40523.1613909101,43045.1097100089,46092.1127461047,49673.4583962393,53518.5642865017,57884.2772939404,63030.7282577187,68549.4469610629,73539.9827594786,79070.9776088747,85017.4251781916,92215.4612168716,99476.7464754214,107691.074636167,116394.886177134,122893.309374257,130283.063166218,139173.319354872,149103.15062166,158811.817376122,164073.50636897,170147.172807471,179779.497086259,191689.725077191,206445.566801731,223280.177494761,241139.664363641,263276.186659228,290603.563264818,318935.144961551,352940.769290377,387487.703742397,412295.139487643,419315.037484551,419315.037484551,419315.037484551,419315.037484551,419315.037484551,419315.037484551,419315.037484551,419315.037484551
"errorsum",267969.466713472,59578.4816918065,58419.4801600031,57293.2442411643,56751.0615028515,56040.2044164614,55206.4931047297,54252.7961044911,53175.6514770731,51950.991632148,50642.5549495814,49127.5562705591,47264.6334976097,45277.7794228089,42981.2206678422,41225.3646300553,39443.8963592138,37678.5769224982,36041.8195338081,35346.7831179632,35123.5434365418,35006.4999663613,34853.9015418595,34277.0115278953,33649.5288503944,32464.7096273794,31362.5023825414,30329.640253746,29394.0082030084,28221.7202094357,27072.2144490019,26155.8957898618,25238.8562095574,24311.1787744675,23539.410289239,22997.4434032903,22792.1042074192,22954.3469553305,23347.5698844012,24052.3691761119,24821.9678209982,25838.4985977207,27205.7485578738,28889.5482344739,30831.6819722653,32969.4504525605,35198.3672049319,37879.7822298877,40842.5186417233,43945.3692971296,46835.5812687402,49646.9036391041,52425.2263459264,55063.589588712,56957.7400186856,58973.1316977972,61011.9348022607,63305.2232142934,65864.9436461109,68588.8225124238,71582.7476433473,75023.5288407261,79151.0405840672,83782.921906437,88575.8879123477,93322.7099567717,98436.832639396,103467.188779034,108652.020781094,114737.605217626,121245.315678632,126992.742133014,131141.377879369,137416.475729068,144400.154224249,150676.079322388,156566.455196321,160851.062324656,164231.498876854,167860.372531955,173332.082605867,178550.866689427,183974.828962765,189090.954721531,195604.460429376,203700.664967612,213523.192126596,222727.99051701,229196.034961118,235789.01410533,244037.149826265,254677.908530069,265450.586309907,267969.466713472,267969.466713472,267969.466713472,267969.466713472,267969.466713472,267969.466713472,267969.466713472
"errorsum",309712.525368158,68662.8587582117,66039.0706339967,62638.5907983701,59242.2621669994,55901.8036376519,52616.5661612687,50280.4974907339,47114.9583739386,44107.7988239209,41207.2916459248,38072.9422490574,35703.5993782336,33603.0172328373,31775.0679080396,30229.1066135759,28970.8668178339,27945.6980667945,27134.1889586526,25925.7389946978,25270.7584673217,24740.2191191616,24337.4844630861,24096.0117391904,24069.8631787496,24272.2619870158,24691.475474658,25387.4742542162,26420.3384575185,27126.0271777906,27663.6623499751,28278.6191199813,28735.5907697388,29272.8540117077,29904.3049772507,30647.9071671329,31460.9160850686,32382.3966325585,33448.5572381854,34772.6650392676,36627.6773277321,38386.7554024316,40132.7105346288,42205.9393664621,43971.8335533071,45919.8673978891,48066.9528572092,50298.800242086,52395.7605575703,54536.9128622385,56851.0982531824,59507.9717013121,62137.0405577142,64197.0507649618,66475.8137010937,69062.3097963281,71312.139510934,72804.0092917819,74594.1391226251,76776.9054906472,79578.222696698,82773.6417987865,85433.9960261457,87873.3515691201,90015.5193887045,92134.275571611,94631.2346721524,97581.24555598,101186.148024899,105588.909425694,110814.998194895,116464.463384751,121588.260080324,124025.225303542,125781.666302227,127863.783546379,131471.401193306,136622.353136421,142056.179078452,148347.235746305,152968.592595006,158273.514962604,165492.145740269,174339.90106651,184019.96573992,194214.128531823,205078.484932484,215602.520920437,226468.151869014,239378.271032398,252127.38422674,268402.893140667,287718.27529468,306159.361119732,309712.525368158,309712.525368158,309712.525368158,309712.525368158,309712.525368158,309712.525368158
"errorsum",309019.865812802,143067.438087927,134959.134711076,131537.189094671,127169.171032781,121804.937917964,115538.824777266,108579.364397875,102394.211904443,96058.2323632074,88618.7457438721,81308.742324211,74489.5638356426,68014.3059930355,62051.0422142286,56737.3968858882,52022.40052197,47863.3798366145,44018.2797088145,40657.3996661343,37859.3161281277,35446.4898946501,33372.0484081598,31588.2839427923,30127.8625992244,29022.1888430564,28087.3045457292,27316.154342388,26724.0151749925,26280.6414053421,25987.0133241426,25841.4154881423,25850.0180165384,26031.405377005,26368.4116874329,26860.7968400921,27493.6296286513,28088.7908704861,28779.7007996806,29561.1939208013,30473.1719538438,31525.5614690367,32663.9536070548,33833.3564241079,35291.5483974224,36988.889026867,38705.3310332522,40472.5841917634,42397.6997945408,44602.8885012152,47311.3351804997,50250.7862563736,53223.8482908736,56049.8822609062,58474.0072071203,61193.1433825213,64345.3098423389,68052.9784650444,72164.4201900203,76130.092393955,80464.4536279312,84528.6789825088,88294.647191605,92646.2997791234,97577.0017913732,102937.195085481,108027.929732775,111853.507115399,116385.954180373,121802.530238811,126836.001288874,131638.514630762,137097.235349572,142845.090959288,149205.700974024,156994.946326827,165228.914374853,174287.702454888,184222.033680195,194812.978712456,203235.352308272,213761.699074196,225791.871020464,237981.396560721,251124.355292884,262523.716670127,273534.782737719,285563.818994085,298663.064950367,309019.865812802,309019.865812802,309019.865812802,309019.865812802,309019.865812802,309019.865812802,309019.865812802,309019.865812802,309019.865812802,309019.865812802,309019.865812802
"errorsum",408983.087653189,76794.548879685,75947.7059954353,75050.7447296863,73215.5625120443,71745.6825278045,70175.7769054465,68493.4251545534,65784.7715686554,63465.6340129765,61563.2407480574,59620.076385991,57597.8870267906,55483.7371505419,53333.269024051,51499.2711771765,49545.3880999128,47732.4105064764,45858.9248583973,44002.8828910305,42230.8386387287,40555.4493361764,39236.3680735168,38018.0322760776,36835.785271969,35783.8709372037,34914.8972119922,34242.3907806808,33761.9396994103,33459.1394986372,33240.7402206422,33070.2212339685,32554.6466887828,31874.2461176938,31256.8306551092,30728.8611951451,30333.497228069,30021.6772407185,29811.243076201,29740.8321304855,29763.5425474694,29880.1230349465,30118.9162270993,30443.2024461233,30904.3158097888,31643.8097572472,32537.3436126756,33471.7667625403,34477.1107561414,35604.1971283979,36938.177966894,38413.4876032049,40087.7984600638,41811.846906142,43621.2923684837,45737.3810053568,48293.3981300761,51135.3838227927,54364.5472743745,58144.8556368998,62435.8420986578,67745.5351976843,73700.6744668801,80141.375871223,87626.5588711659,96140.9345642898,104879.17650546,114589.903542991,125913.687317164,138891.726241215,151485.74379908,165942.394925361,180919.718036183,196166.258497709,213671.71823448,229711.313130055,240252.642508754,251342.173967691,264619.751285324,279490.682308613,291620.107402178,301652.681425207,312187.589760017,323866.665477957,337605.384867454,348690.140682366,357968.518137521,368484.584210061,378365.093182572,388605.859555353,396933.46537799,402643.375743478,408983.087653189,408983.087653189,408983.087653189,408983.087653189,408983.087653189,408983.087653189,408983.087653189,408983.087653189
