"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"errorsum",374788.445652423,427074.31470487,401609.936807118,464221.335676795,393037.242017968,423318.150778808,353490.719121627,378262.844351783,463860.279469549,457411.124527395,372685.550840681,406540.048976375,416520.305429992,369486.409066881,363800.761793406,402457.636656187,355065.368864871,367583.748778447,431241.52039549,459406.335162857,423898.681789168,420766.954186424,375041.077373072,436151.186545381,464846.179909688,423798.486789177,440898.451205644,328349.412606195,440649.837633424,391813.510800563,449879.288460481,448573.598381446,447004.81195338,475085.241523308,398907.45100894,349672.166023842,449827.028838149,394029.671843251,395947.45774071,413401.645802922,399379.882993569,354827.499045153,419821.933511059,417425.518972523,407631.077435619,470966.049194964,430968.089662632,439911.967526255,379911.366077643,393316.550859323,410503.65662662,409309.321115017,404964.524402603,372073.505144715,397844.648094844,408277.320314845,454699.902222855,484971.831449257,446494.679712295,391808.651683288,426263.899787725,474145.975456839,389468.923930637,390346.374838218,355867.999696856,391847.159230816,426852.947224581,408688.261848223,407370.166979902,352221.9035449,335540.861414841,398437.527606484,404151.563980176,392717.741264094,443224.400219891,391736.230968623,441647.277316183,423899.203005163,413629.254145809,404539.603363439,509943.285506549,456806.504101053,412044.309193683,414211.032672768,406637.211506813,417814.661451073,386533.156036746,414804.555399332,424193.419472253,371079.511333286,370383.561440272,430733.66277499,457720.446675739,407293.106458654,386142.848467728,376233.734741755,471672.42564678,543002.532423064,383780.114513531,519895.801544859
"errorsum",427747.050012079,464073.683789203,414676.766223953,454609.699015856,377504.608507296,434976.485476599,422420.927547283,441576.345723259,456299.561046161,427278.482802208,449907.04849464,439081.83709146,368304.731343719,419015.117101771,431688.742514208,386493.667796636,443634.543585169,433288.2633657,438496.74339327,419835.550745063,420150.004277061,395168.843538093,420654.189580745,449942.072868804,398293.94918244,416413.726494787,426028.895134863,486729.128153626,396380.43033847,432500.945190129,438577.103826726,416781.60740919,386816.263771763,385461.562580531,403332.178810887,362149.206988828,338946.428602845,429599.716853197,388273.912540212,366690.53997563,435232.981923505,393130.646240356,397978.895560864,440899.999948846,446571.524824908,430072.852955778,377622.111193079,443108.364504572,398870.284108881,381187.806684393,376884.874240742,425163.917885966,414430.765080789,435727.312980817,426370.427148415,400802.768392448,376421.646205695,435266.229265636,385173.560849921,494465.000651457,398909.357921015,408006.023190956,421616.598566121,410266.298796987,451099.727490834,418761.067125417,489372.064389503,464973.760058186,385951.456012934,407975.022176883,410430.00668868,404755.420221654,474328.04258472,404799.1891096,458061.41786951,430806.807585792,385303.543247545,443307.602773667,365955.438877792,418609.850174307,408892.612130377,481137.917927255,357740.349646453,411548.968453249,415747.322615999,440759.192794419,478620.189612722,440373.448436333,400171.479065929,425544.388464376,450233.71736981,377286.618524367,474490.001400133,438488.239788549,407276.860840242,424358.53372499,517268.554964942,388153.382459332,394850.9923101,379079.090059209
"errorsum",388638.663494161,381048.218326073,397653.507484085,484108.791697798,390025.47922155,414876.591816228,465284.346708085,395829.525401085,367442.9011978,443634.796800793,366961.963045318,397739.941735309,379286.163557968,463090.453448138,434858.833454168,414725.066632341,408162.955886051,407936.344483355,458296.815190622,469231.328438729,365388.862859639,393286.658775208,414714.602783699,421864.001325477,479493.440164319,437015.420649553,413410.173686398,351606.383240411,414965.019522167,490891.807703264,434923.580618692,431337.442832611,413262.845851264,398122.03671488,444990.947597643,364500.592026763,384414.789256863,439618.132891441,427316.286563013,419101.048949921,396298.623384884,445654.223095672,403540.153892649,327152.47887856,433574.81866271,420827.404251819,472296.06475039,359842.747442546,444516.254270785,406307.397800151,422118.356992383,365905.569252919,419744.581985318,446143.86207374,465088.463990858,429681.738381454,457023.724698125,419486.916280284,351855.242396844,403468.524375674,372250.038178763,389354.512607393,382169.430088541,396595.215869382,485444.729073277,397158.735104597,447125.296284973,412874.904422108,443178.149384901,425169.157656254,424627.356822419,430992.905356018,384276.167848876,466004.994485236,418803.282484041,432287.146504023,353411.710248683,433486.442176509,448437.80695264,358914.120117119,404420.389717823,369523.637313518,450981.559853367,515659.377704361,413076.731257772,412893.327285751,403103.77703215,534026.94976239,401626.911581911,410851.912918471,392726.375756028,368833.760627037,454342.858475681,395331.624153094,425805.181851824,363423.028290252,401404.513541809,431985.366075705,437125.346700904,449851.222824393
"errorsum",418297.056426353,430726.30194942,387542.458778407,404008.532385669,446390.791457174,378048.706589959,394657.909355603,405632.076501705,425597.415154239,408521.741313525,456464.038658789,427497.860258119,440786.718110416,391771.490608756,416042.425440091,394744.013512011,435966.40200745,425698.424705874,430311.494659728,420836.816733457,404717.456717319,484672.404663391,454259.032114748,392015.26195274,408177.287538757,477309.709084707,389846.24444985,413069.586487634,447707.447823272,382527.002768901,387741.929430351,397252.806838382,389944.997470086,419563.928523915,430737.067729071,399981.406101594,402444.770732299,425270.101414678,431434.077230884,434826.109687442,408570.63205111,424070.655515314,387310.237573412,379887.865829623,373827.050661649,360144.411859365,390848.254104426,404375.834998134,349234.016184348,417729.477459414,443711.213039991,460931.946833779,408321.157673717,492039.706916649,382783.398730101,436117.375778461,394049.223424902,357821.268230532,481495.053326001,364250.407560083,401845.569715004,438506.117485013,454796.770070057,477940.674524793,399712.039494417,426264.969035611,346844.474926436,416180.010206248,413542.190238567,428197.732282627,345810.031225462,398468.806323871,415437.441753441,387471.361314471,394625.02339861,402345.534558796,394743.994306119,401679.341574937,423446.157265864,358423.245819921,408468.652274662,398862.454461659,439400.396452085,424561.167534896,428902.198753369,429521.411429964,381137.583309535,429185.724999762,390408.44887297,480187.45616278,545933.033440108,386909.955144065,430633.803373852,418051.749599738,402088.772045236,473148.329996441,405987.484538447,427250.926433025,394402.952759216,382089.673273905
"errorsum",483618.594501096,433123.149730277,419625.633481384,428112.766625264,409798.95302259,429843.375065916,385430.639603377,401853.493456163,424590.009095923,407230.895785133,536013.769777324,415919.132219138,426346.510374406,463054.960940836,423022.612269538,384407.240675958,407956.857215723,442387.093045189,458511.943376559,432236.5343868,454675.827309538,498928.233206637,469926.696079099,405454.190077114,434742.145916563,419165.173119665,426102.722226571,427907.93388497,361400.466577188,431931.929389989,354424.892297024,363914.081532876,354356.580704655,385282.193575693,368061.081797383,389302.306410504,438404.108893489,384431.173193723,386196.125458768,435142.301179342,410365.012455737,404794.464620802,425751.466652656,408361.324687954,379913.308887317,406087.326898222,339183.478475602,384741.932717485,452915.318528749,482676.847498269,432984.305751547,430377.290412703,445696.990288119,472777.192146666,473294.148681552,400669.524329265,338816.693568246,436508.672150123,446681.956979373,439348.773761325,405196.785578144,398198.828759903,430074.057370465,426443.774509231,427495.050846349,400921.401240222,387374.438521249,412411.602107006,361323.482317423,418208.391936222,406408.992089066,483446.061169671,448766.110156621,428177.377508431,375557.593727396,445732.236375499,408664.174636223,394224.429771142,368668.531416057,414164.744130492,404877.810164099,455968.034391745,446444.659339101,444128.259152246,390894.201346469,392153.575974344,421226.120451083,408469.361610655,396242.095434778,409894.49684694,422701.629595196,439349.198546824,380447.581810471,398839.702494132,432609.928841156,427850.708073135,507883.538132805,385235.687570835,423635.192731981,374517.123444887
"errorsum",402249.503707374,434960.346735,439145.279625342,423711.863153057,391231.253016339,387729.779305193,363960.893525997,398944.155396139,374291.392044344,421078.723790446,465031.945637588,392133.506143895,444492.345522013,386291.263201696,414309.45991346,446403.281391172,438794.054563431,404036.075895009,338332.744521149,464464.24693683,418847.703037035,466024.003533115,383643.934426434,456666.440443977,398662.003494894,423703.715837808,331304.276349152,455546.073184696,398460.939083957,430983.803880343,436530.911325305,424450.679848564,409669.717202049,413581.392476787,420095.430420282,473283.740460253,384494.820143767,407257.055073757,438589.931631232,400914.416494902,482086.973397579,452013.037784741,386709.699876629,388092.672348674,446482.479972133,388679.646429801,440380.551403033,451090.438188242,415825.29620285,398949.512636936,422556.294306367,380172.569121924,413067.028101365,378278.260623904,423375.823426266,433034.077846011,410019.841414347,355916.999444149,378508.273515636,442853.682422229,416080.84384978,404344.640757583,395830.864306852,447069.867507292,428841.940697713,373019.65192128,428016.866875064,458082.091836137,373473.240299786,411311.527219934,445757.717043108,377011.546782175,418888.253186489,393566.616955703,456779.208682667,403626.44598366,430230.849581048,453226.095977833,405853.983900786,406512.974629475,386904.076020487,378663.916660036,415912.380401407,390934.61480488,425930.563715174,384228.478194163,491484.510973973,429483.566999745,372977.473082924,437990.609556305,450545.693073314,369284.524485035,414703.641754381,368942.111991383,473006.607811151,424297.605163987,407083.543385471,509252.360405026,391041.081544552,431357.391076673
"errorsum",424411.41266419,424291.909577395,375948.371116301,424761.117914246,398250.616871725,381242.30998083,380719.014638082,391973.874759327,438705.848122249,442893.842857069,453562.319735793,429505.139031555,389968.204800696,363488.076597764,436815.454252569,435511.256273373,363293.409519985,441129.583295665,391485.456039796,472730.667887341,376028.392592865,435145.495293397,448559.404826298,470417.800285491,477066.299147099,341384.782145453,405412.566556145,403346.347050551,362254.615381667,409153.7561412,433314.60012422,459072.873114685,384628.798648512,418424.739796964,439586.674120586,445612.21165266,310447.380483736,417899.201132692,430339.757329393,401486.932772698,439177.172934209,404619.441100296,361155.297685229,387222.047862731,422779.907971357,403591.881744355,417804.872817575,446634.520770304,364337.990623075,448520.024759349,475147.929859842,411406.942438738,355678.684997719,397816.687836873,453161.218259893,388816.717157159,343537.653297238,425034.770059386,444674.825127458,413954.829835516,488659.633089615,379424.290754742,421739.43384739,417261.962289641,406796.386837237,440160.013127838,379175.802017576,390835.435187192,336632.019657369,445076.928465859,451639.40114368,492658.363448879,412302.545563573,383367.52648621,383191.192720864,422521.128929285,405933.834012475,429082.157884509,435754.250265691,381422.225867189,388406.629857359,397758.94452156,436484.390048063,369134.050753876,391625.541709006,438194.441300282,426905.715309626,393140.761010194,435963.557005886,383421.044731048,479679.668559627,413209.566678923,386457.653309723,384241.345261153,417500.242424782,440848.896728982,435662.786061779,456120.090099038,399205.185417374,425473.908250557
"errorsum",416434.932365419,424556.872996226,492355.191669151,373910.807302284,376336.796771877,418025.118473154,418353.191738228,424800.975091546,417835.708753656,406172.80609335,467869.980727957,422480.390933786,434202.149322926,360492.990305005,471861.580088616,457441.665940996,391512.04320175,445238.163783564,375175.850749309,429663.324518926,410695.671107909,450020.665362972,353844.446143616,465295.454129855,481460.977974755,406395.593643976,424214.728597351,393830.930529154,409447.159455889,419481.306526631,459700.443354654,458633.102925386,374803.171202571,392850.988573192,411112.356490456,383762.915964992,412867.61462256,313719.590353624,440229.479512436,434181.848189897,464150.92644475,482584.534787638,407770.099277064,377930.103622536,391192.212443492,420830.823108612,400068.478169393,464447.393674867,386505.902449057,388194.285098625,475636.775496046,426049.491332772,411070.73331077,464879.903831865,430257.477215327,389021.627274356,432071.520912292,462424.982120374,466216.342422303,434945.939119729,331918.141702197,480986.658670271,332217.036042225,402848.608919612,406746.220127629,402426.293187599,420252.789677249,364192.826507041,372879.099387055,453528.801157859,399954.153225953,404894.922412689,455462.646269343,406468.176911718,503551.596984107,381193.484532361,454950.846193537,431216.072794873,409433.838404803,398615.072616837,345746.585214785,453124.348367614,405162.685395452,457874.349829407,416105.915889053,423095.162799528,447033.348709063,434674.614386556,466099.948976893,438004.726498484,427111.231632623,499107.349239786,344171.245477944,439733.421605074,404755.667461151,384871.874876016,429125.419832247,466392.644354456,465219.899804583,433881.130243972
"errorsum",406995.128271312,408728.626218246,462979.331838694,399881.495920097,391442.926107801,461474.14774474,429345.240118481,399295.17265576,425420.573841761,394871.55578144,369127.290495517,494651.305357333,420792.156238518,401858.118470036,491151.742882124,452490.320444758,385634.75631641,454664.536388624,365608.2318641,401811.451380659,457756.019259945,396399.249747856,451302.432889393,393487.611639277,442527.024988123,332216.02748056,398034.451578534,391708.252351716,434335.701557391,396146.521642134,402147.71823492,428683.532610681,361210.321374426,374234.581752946,386335.073310395,466101.353296833,353243.144812629,371238.521157046,425637.268855145,398747.330169322,352926.270886183,420283.137518949,454616.506467792,415396.760685515,480218.935067522,381539.017538191,438251.08410678,359774.180317127,453809.980742235,374221.514724102,452107.047595717,452610.961490815,450009.872074576,381256.84460609,459784.607123277,424788.439731816,402606.247565409,406862.020966109,425184.029235986,403885.789241538,450112.831767885,421998.200755231,408100.781203166,382259.883758749,453658.151812901,433662.959282169,403915.666289135,360290.784886338,447902.417541083,426930.709358494,480040.800519677,384735.863070141,374819.762656505,475336.244361306,390585.853680355,476984.596658694,414167.884354132,492704.933993774,436858.838987541,418357.126196979,389377.917668563,400214.843831983,417208.182599454,465055.322987253,388611.253924764,429713.167163731,357055.661363312,439066.062443721,393976.813628928,449558.904181155,460992.817616654,423853.35771106,370962.425517507,439613.267642103,424423.531447323,433183.100891766,402277.560673481,431639.829757139,431432.669434867,409444.746576913
"errorsum",429120.491659439,417924.262640978,387667.024485326,379940.573159354,427712.371958543,422125.288255406,427969.490352574,405437.755075055,377181.528183575,460407.865336985,420419.243836417,358092.045466186,431999.719949643,433994.796167483,450192.298996428,409619.638224032,451410.610973284,383839.194938307,443330.153165311,417051.020812279,431574.765028179,412458.123159525,451278.463370082,408519.961580511,473793.098568227,375023.29405146,435280.68031813,436003.635808334,382165.145183761,380803.218281822,375749.609119053,374471.383498071,500505.276842208,442026.405136292,375896.504858242,416491.637999723,429042.155114171,397807.568934257,405249.413098328,421908.287592378,411006.907763711,484869.598610078,476205.960897791,398737.110661036,389544.271221131,422972.526630712,458335.629461892,415627.01582388,413859.956548586,429430.749022648,427435.066033842,460400.827988874,388592.22625633,377034.109176097,461943.059992373,432737.299729298,411185.815133104,399547.012470949,360002.478385661,442588.614919258,382377.997850249,465902.358244736,422355.331262014,436583.519867145,404270.297802327,404408.878303286,408679.166163961,423068.415789169,389199.989598829,391738.112991706,441714.784374378,385802.792206724,396528.249834677,435298.634534125,423850.835467222,447685.470681522,465065.93025963,414364.157309506,408007.118932654,438658.308526347,407021.275790598,376307.983495758,458927.404638679,321616.740949043,449416.391940374,395520.624454031,387136.197891473,407985.590908397,378289.874921215,439361.451900003,423964.955797173,400020.965856681,398932.308200171,404235.895799911,453215.793576073,459986.611158924,387559.689835183,500153.964678777,504411.110547476,415111.49464102
