"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"errorsum",129193.375529981,131216.102606439,133178.014920125,133100.561422708,129487.098773088,135052.532814379,131712.950587795,130028.915428567,132425.656039488,130881.789349183,132115.59199152,130931.494581769,133082.03427337,130361.627083086,130822.542835339,132226.137345048,131628.185405526,130338.532994719,133152.318920564,134104.709667797,135617.11709147,131364.831938018,133626.161691086,133050.309002895,132176.646939024,131928.188758705,130912.530273761,128175.501591179,134378.3186854,132716.680047059,131772.136813984,133070.863875887,134059.461926981,132174.116943876,131131.425154365,132670.081067861,133013.720206115,132508.481700433,128173.134693884,128085.740896288,130920.137467475,130444.585611495,131166.233234146,132904.582839707,131019.056463097,133325.855698169,131836.159523863,134407.896898496,131305.72217684,130611.538127084,133990.668025251,131610.594584784,129883.189901666,135417.394879361,126686.120437077,128492.004590137,132540.476386842,133802.575448281,131766.616280443,134241.747543209,134092.700677897,134352.59422557,131194.089865112,128314.405951183,134401.445516505,131121.465461993,130336.713187184,131789.457833856,133077.60481624,132118.033641831,128560.439669465,131825.857188148,132212.431928445,130279.018369835,130025.511785007,129125.012818905,133765.623626066,133335.534692972,130633.980098881,131066.740588769,131684.010163255,132184.251686998,128675.083872462,132655.98083496,133649.470143181,128917.083691493,131009.315515452,132386.837440752,131030.781093373,132920.335877673,134944.233909705,129170.7550782,131514.894475321,131611.59216648,131678.460813509,131893.163793048,131114.894611941,131677.114506419,132436.112541554,133768.973918868
"errorsum",128868.101792594,131421.78628542,133694.385762842,132362.090637899,132630.169841364,131611.347123359,132762.165894091,134493.342900374,130654.010780666,130915.357363062,133503.231776654,132157.441199416,132266.457551195,132349.157169422,130662.206628847,131221.413244564,131137.325730129,131116.652918794,132204.914188423,130431.746643167,130748.334855432,136171.617390548,131311.55306078,134631.843314485,134113.102249643,131262.533246367,129607.721033993,129385.557943277,131825.994572299,132985.691539069,127040.45873112,129534.262845287,127206.030956186,131729.041935998,132695.164602292,129811.197404237,132631.021295217,129731.979542829,130128.983687437,132984.212635457,131231.517020402,131321.150536835,131850.715016833,131665.637307486,128894.691510521,133382.99697491,129567.263737498,131665.231663342,132396.253575175,130962.162796238,132988.95711902,130451.425528946,130793.629778974,128743.965044085,132585.551068422,129917.124348324,132653.776543714,132726.712509824,129865.292527899,134778.669716373,131218.083998674,129267.416050862,130176.637827263,132018.681818531,130593.752265535,131111.513676681,129143.38467801,131847.324345012,132417.392217865,130326.851591277,132016.386065776,129503.147169039,132074.71933319,134151.965639142,128851.751684085,130115.34120247,133936.461973125,131974.049519516,134012.461730138,132678.689792518,133122.023775017,130718.577314015,131562.599682159,133472.211964314,131735.874312979,130356.960089665,130252.334626835,132576.859013857,132603.66002528,134087.810748237,128143.807695669,131126.754545685,131010.245375461,131388.919547761,130170.40889377,132537.737401623,134732.869110229,130474.321626716,130526.368630056,131711.182398961
"errorsum",134470.341298889,131874.934482964,132956.211720307,132955.424916449,130561.703505562,134159.946490683,130828.381010185,131117.697662176,128045.970103967,131154.013530872,132550.447356912,135864.800662298,131261.466927521,131200.60724255,128784.232854726,132341.948867923,133190.64902258,133524.556033728,132612.747795956,130404.183717403,132109.124212686,128983.610173863,131363.916543377,131720.16056083,129989.642187056,132144.981051559,131112.899431932,132424.75078452,135431.252205822,134779.655380537,131489.681222801,133806.731474784,127241.531690068,127848.439753441,127622.979398011,134952.731926925,131792.305045662,131810.495876821,135916.516429106,132681.733036694,132566.016030134,131687.223542692,132213.506795811,129324.345420464,132222.100273481,131585.596704713,131861.633204294,131945.747897841,131865.898371853,130991.618306387,134890.111060634,129323.62827909,132266.107415157,129822.922030883,128892.060192405,133306.498891168,130938.750251807,127044.389474039,133098.433775007,131972.816798879,131742.778006075,131297.861461399,131027.238056154,131493.710004525,131756.279019157,132539.155404966,127346.793870361,133015.340058462,130027.782270474,131996.540468222,129505.421259488,130683.103027617,134210.321419641,131338.954051024,132532.442572046,131273.422242011,131527.204065227,133037.995174599,131163.638223514,132260.893417621,134020.678482684,132174.636033278,133487.154754942,136050.248812966,131421.768217576,134033.819485964,128523.401226454,130914.537318245,135555.095358522,129811.442093473,132869.195648631,131485.250628888,130307.693411098,132012.153848594,131122.814061928,132642.202478586,130559.897591212,134078.499688716,133491.59776009,133900.595362668
"errorsum",134631.775594162,132525.085392627,129912.121267885,130320.250343052,130702.839885047,132598.827254583,128918.235493687,129707.441061828,130618.841940867,132825.652599252,130410.607444208,131875.228001257,131241.907255211,132749.678846817,130556.405088692,133669.104180896,131575.881489248,132004.297507368,128272.964598573,131970.567393266,130299.320550933,132993.76643731,134734.507073446,131224.165011308,131987.515683761,132504.88699342,130916.160701173,132686.12945848,130953.495103219,130415.882779256,133973.617094663,129397.20447682,130074.370878678,130988.179167068,130608.438619578,129680.328416081,132671.328338999,130282.148441101,133983.113544678,133009.123729277,130246.189935325,129045.4558488,132517.780874351,131502.018158309,128655.09506918,131757.102680044,131853.240281173,132973.023814964,129620.058924036,131255.076140476,128818.22825515,130977.806362809,133821.065142642,129331.360631478,129688.58029182,130115.609268903,130007.328997757,128764.283985335,128562.507414797,131987.745637617,131792.657028636,130704.749546899,132629.08388408,134633.573367634,129480.001949059,133412.869713788,132424.926510978,134341.989780512,130661.021459909,130404.099836662,131151.532093082,132180.910768666,130187.326921718,129436.668928373,133115.528182164,128831.498009913,131203.233227466,134035.002338001,132081.165598711,131021.805891369,128521.061863122,134451.279720518,130153.483996251,133084.37015412,132017.037037824,128888.894985981,130265.810601162,132897.82143444,131190.283360743,133594.208626848,128470.166804208,133839.948837749,133702.652024793,129045.44678335,130703.176452438,133551.384743828,132363.794261246,130700.912355704,131508.082256975,129271.658552339
"errorsum",132476.367041005,134116.113243408,130530.142191883,130606.868270896,132077.502131269,132518.964491826,129909.963708613,130629.561101689,132641.048632319,130476.563427953,130815.071064026,131163.829580443,135719.935367856,135470.285843094,130729.84817561,129325.617240422,131335.356369235,133204.627774132,130661.054431978,132769.836416559,131994.355719132,131506.227002589,126943.762387632,130238.311261097,129256.523515681,134728.667022643,130974.375284913,130897.70312208,131109.064984638,132839.226454288,131672.925737824,129463.400051788,131981.261707084,131538.275347634,128637.229691906,131652.016147165,130579.796203706,131457.86253518,130505.700266775,131035.933056978,131731.039392865,130695.403001469,129046.732281818,130668.615078813,131562.680954499,131120.4177712,133157.617402336,133137.068145086,131055.546583795,130344.020062922,130840.005410285,131829.138973809,132209.275755386,129633.690607702,130166.115164082,132327.003210225,133313.971671677,130185.286581171,133626.478671166,129044.295641888,130904.475643098,133472.338434078,130180.437083607,135416.660598065,135108.424258175,129952.762054655,132157.607932505,131938.780965337,130762.598704552,129059.533931462,133416.668632548,131768.127426308,131892.060488106,131578.35366901,127930.713586811,130802.525071029,132292.665203108,135118.16914534,131678.277259163,131057.127007597,130404.459386323,132719.960055571,131554.464982835,128837.327467587,130391.827968934,131042.966048672,132485.280307067,131998.134899046,132937.45879438,130788.975363714,131765.887916502,129979.114257999,132119.545712395,130966.475874095,132678.337480616,128287.417829478,134039.657619585,133846.131971723,130895.18441333,136041.592970634
"errorsum",129441.202502009,127281.065827751,132306.495220448,131528.776545046,131962.401103578,133563.044475609,131693.572755738,132098.252248278,130333.508188967,130315.965485179,131872.013625045,133391.40328441,133415.956385244,132264.914122911,131920.010173237,130596.727021596,133834.802165245,130021.881478764,130298.25493171,131483.164058692,129811.782684585,130054.622224489,129078.877450536,130064.620482058,135991.073974993,131632.797424103,132954.534621552,133033.57473001,133588.95792572,130009.077837849,133767.715871589,129680.61459282,131098.449714333,131515.870353815,133164.855818074,132362.848275024,130070.32245274,132501.717478963,130579.615469599,131912.520701927,129012.50678544,128810.126974622,131564.133629726,131591.332943948,130989.023162921,133035.093992399,129152.914485909,129938.154526464,130283.587700333,132016.362910629,128516.027036068,132898.405885056,130345.011552958,132339.419221643,131517.138118002,132955.043270683,129705.026864741,132258.862546283,130237.520206982,133221.813272057,132132.546488267,132550.817236192,134525.135458288,130206.556595164,132803.303162018,131540.866607676,131533.590966855,132040.930475554,131665.988663127,129798.457137266,134013.568540824,129379.014295725,130046.547421471,128430.839840063,130879.427173332,131867.923583801,130245.786829084,131018.033387043,130813.459115631,128009.148118515,129439.861536282,135692.815396606,132522.867988776,130684.239985686,131224.310792095,134067.927865208,131731.74822365,133495.634023257,134899.310101861,130983.058539865,133087.175402251,131574.20828682,132491.611605759,135207.291643721,132003.978291011,133425.044641881,127658.685751589,132150.4210174,130478.051932552,133057.284649759
"errorsum",132517.171383161,130952.182034009,129410.333753628,133539.22894984,129700.342807659,131442.270500089,130415.656155425,131061.385489144,133109.756844778,131467.193521271,132401.520832117,131544.309444466,131015.097306571,132864.080290171,131180.310585081,131397.777247018,132258.37896523,129599.616329328,129745.564021814,130848.961323186,129576.996242564,131563.025374203,132890.366277809,131141.531698691,131348.196187422,131477.983711484,131809.356142405,130569.800453511,129778.039235975,130870.626389675,128415.476170102,132653.374116811,133623.521659087,133224.532679178,134600.644807918,132817.211005641,132513.155585858,135641.976909535,130395.397413914,134094.703633957,129461.164180488,133317.394854349,132580.551582719,131774.380135522,129125.49414063,128452.592939999,132672.201815446,132119.045893363,131650.361832899,133203.029527301,132273.556981781,131125.467619253,128877.151141514,128604.994808954,133745.135484836,129367.848724001,130531.401405217,131724.374901161,131948.098124125,130749.450041731,131084.494261226,131175.458864371,136061.85940587,132700.691994602,131990.993009939,134768.250817896,130900.983303585,132806.728907638,131841.333879484,130941.600554949,132119.560003081,134700.331382921,128437.484979753,131186.268585558,128269.028571989,129216.213375891,132321.890681605,132783.30196548,134461.756376136,130486.148627952,131998.063794312,134867.356647764,131039.419191296,129313.492361125,131823.131000025,131246.231085511,131786.322915428,132102.955566336,132785.981718266,129410.806302473,131051.526993179,130964.755713963,136295.878725943,127528.296672669,130644.423495393,132361.563733718,130132.631755071,132845.821151634,128939.182942002,131002.683550228
"errorsum",129933.155699521,131071.701710075,130977.533926009,130657.930574373,133338.524291609,131111.067520666,130594.792573301,131837.148294107,134989.549153124,133240.384256253,128784.425953904,133362.571160652,131509.935984223,130934.754619444,132648.939498595,131281.619396561,135222.772596846,131428.060596009,130548.268923535,129885.625522866,129681.742936023,129573.668388611,127785.549767712,131634.0738225,133642.728758491,134419.996952724,131381.989340963,132812.555603776,131638.638258123,130508.63252886,130148.736399295,133005.55806553,129440.986487675,130301.931165221,132048.879160842,130969.397003738,130270.396425213,129396.205407491,135181.161673363,131413.648061685,134058.304311203,132952.349470621,132662.180441206,131935.831062333,129952.079423436,131916.445681966,133378.558134765,130392.358867501,132417.62493514,130857.448457618,134147.074042265,133128.678403933,131278.705080607,131817.889432934,133323.390304683,131781.132570851,128461.382622116,131775.23507734,132164.986065729,134083.121796191,128355.983462365,131365.703557899,133274.883576319,130826.844206929,131360.802715615,129487.696709033,130112.899610396,131121.089623039,133335.717556219,132927.301872486,134287.849783296,133317.438070846,134236.22092253,132209.450333079,129846.190125963,126343.508678185,132079.03382337,131383.822641552,129704.576653682,130776.183762838,130732.840330386,130104.163455169,131871.843971298,131815.670960854,132058.077470615,129865.959108365,131471.729129492,131892.832004775,129483.951675536,132423.180611886,129217.104722855,131373.207658955,133178.624700932,131325.384417725,132254.98290596,134577.12276818,130309.863998106,134476.659533524,127913.716041786,133307.86492894
"errorsum",132924.433698546,131533.172376525,133607.565697977,133299.7042452,128752.374256441,132566.495697578,133633.952935073,134798.397881843,132365.674347716,130540.285849378,133478.316318893,129939.038748558,132150.116625878,128344.853834241,134469.260965671,130264.184738406,132757.249090366,132298.449152395,128001.230828967,131512.348273473,131214.129846038,132373.756345504,131810.238245058,134009.880621173,132566.530035526,133847.637740323,130682.074931762,129530.374931893,135679.202424407,133598.430520844,133354.702105886,132552.65023912,131395.443931869,132853.243730964,131580.58065524,129632.961414215,132306.072305279,129751.739810545,134147.845707385,133646.282148837,132711.485410973,133891.032334013,131608.550023422,127222.686480213,133018.427235321,134113.00616295,133102.782422895,130138.543785589,135268.878799298,130288.169512403,130473.071262758,132013.628446764,130586.232166154,132029.202102164,126338.608354267,133192.614006865,132093.182204569,133838.88904028,132034.216449128,131659.171086303,131587.528701239,131274.81104515,131797.585528594,129785.914242222,132644.762618226,128758.633514051,133441.609257493,132522.411602896,132419.598944015,133319.903068835,133873.167174599,129627.931550928,131293.279128681,131125.796719011,133417.552334634,129676.299104462,131406.602059238,128637.758071339,134965.853255076,129716.281320684,131973.546391672,132554.783077111,130544.442540576,133493.042157726,132461.891554423,131241.216657122,130832.577639256,130732.394599484,129567.771722283,129480.113853673,133382.459602213,133986.163526892,133144.001137519,132037.691160904,131024.096754704,132906.195515611,129181.496392304,130336.625247232,133608.834996474,131256.273988259
"errorsum",132328.761454017,131222.004914627,132195.539299711,132864.730222449,133135.402032424,132845.017547898,130041.281925505,132455.132294952,132772.465163196,131119.433674545,131605.49764954,129671.460258984,131375.041606402,134352.962434156,131999.490132796,133035.376636752,134481.633510181,131368.327841792,131297.595949216,133202.700049306,128825.568187512,128407.494017625,133897.851650885,129128.143299399,130816.362821091,130189.052914522,129161.551218251,132269.087676012,130330.021585735,132931.536366602,134421.537398809,129645.276114448,133056.329016045,131361.121002531,134928.386367485,134542.422925913,133189.92638566,130498.265246375,130283.930948736,130227.273142616,130801.707374347,132121.054734262,131911.946972498,132818.166414459,132785.587702602,133686.372285044,131476.115723091,132459.414237656,132488.007699458,131107.347666711,131544.950810279,131694.057444079,133314.791996941,128574.674625434,132250.444296401,131618.223045126,133196.319346078,134449.073144839,128671.318207196,132665.536609719,131536.542903605,134718.204696413,133754.050865738,133335.893164916,133317.290226933,132110.405706736,132555.61575628,133187.481269181,129827.281160691,132419.333669513,132065.332968491,131898.566792258,130785.196087202,130874.145993426,131723.133271166,131959.658004875,132728.872370045,129395.572637749,132404.289332453,126242.167460689,130921.609921341,129696.034307457,130077.441270441,130440.430230396,132947.438139108,131736.775794626,130839.787735213,131573.247725038,128783.699002515,132261.995484964,128437.992225177,129780.300729118,133641.904434675,131678.325492808,132493.565928005,128936.0632371,130873.122749381,130491.673215513,129616.206018768,129498.217088753
