"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"errorsum",300651.433087262,297714.50525675,303301.565704385,303635.852528327,301381.261516691,301327.548306324,300900.699591661,297669.440155672,307658.837274101,304342.97457671,311626.250421268,307636.762451619,305125.03662725,304245.38514706,299272.268235891,297923.173276196,299776.352583961,302298.24692939,301989.663747791,306245.031093495,301759.098312962,301910.264325814,304840.153916411,305348.583519243,298810.468497393,302847.056622316,302699.168914564,305167.663073804,299576.115264505,303897.231580002,300570.304011039,296791.185688394,298843.210836171,292782.5371394,303780.952404125,312931.176428291,299845.83092723,298006.979297738,295636.185335303,297826.935826975,297170.844520104,300477.700496702,292494.714527604,297224.180690925,299214.127123646,298959.241295674,304067.39307991,307094.169464293,294229.151993704,300583.078367048,304815.012289094,302025.636976453,306272.367417512,303021.662665322,301549.232213114,303068.630272384,302769.4610297,291047.531494743,300137.503580105,301707.953782672,300904.645179191,297703.239728043,302335.489175497,298470.848081993,303397.443543907,295986.47732671,301115.482611427,305583.408143627,305668.601822706,296616.884411555,301243.296507053,303181.727937913,298790.919676797,293898.024829437,304519.502122936,303286.46666774,305788.093515508,303302.291880507,307502.696624605,301470.730207972,298869.763125913,302696.369973245,305870.287515864,303274.733223732,296749.235341427,298867.770380277,300955.396695698,306420.927406657,303099.401755173,297696.915235444,307546.908867977,305251.201320498,301676.451858249,307238.245907712,307788.565088885,303939.891973642,302383.547408914,301291.649536847,301054.647124192,297095.624327686
"errorsum",300783.3370248,307160.853416097,301769.582111238,306213.991857139,305774.617522073,316217.062366118,300911.325676904,301123.11765665,302709.511018485,304235.585158866,306377.26277467,305338.787947382,305086.293321585,296866.781244585,298933.568141043,301278.33019426,291613.14412069,292190.374097475,294668.975588416,295441.083015917,305221.355253143,304032.678729906,300582.773407119,298981.395767633,306596.071542198,301053.854988934,299731.486464028,302189.176751946,300499.400337447,304840.165164071,300906.144287556,300940.460276387,302338.375302935,305472.558509492,306544.210962238,304107.011141165,296145.701582698,299828.552560991,304082.693497338,301545.492225285,301173.791563999,303770.932613472,296027.142451251,301867.839890517,302952.411419937,308987.515019071,300228.14630284,307828.955805306,289045.585710552,298934.986457874,304876.808246167,309672.427556301,295656.287511201,302504.864925897,302075.217172785,300011.919030469,295490.163761098,303046.91521278,301893.547747906,297964.009944427,298109.368519799,294535.355546832,303589.173604686,298873.109896296,295518.388699398,298135.622765594,304080.947756706,306639.566194542,299743.582619441,313436.415638237,304711.806966305,304307.777534264,301205.529440483,297736.808528143,300980.769876579,303406.832189268,297250.099135388,299050.270812265,300331.66971129,299075.74203951,299948.208471878,308812.816699666,306692.066669624,306665.873261167,301797.53642651,304186.118002954,304367.925005233,302925.396600122,294639.570921926,305024.890191167,306462.194585498,295529.352784579,300715.727320509,303593.946601252,299022.72657023,288818.183433518,303587.449945786,306936.480985076,297966.686661494,298431.847394933
"errorsum",296806.386610758,304023.77821602,301090.574501512,300855.107257656,303316.263186619,301968.670026157,301605.219775853,302586.556923809,309237.365563598,293546.965332255,301892.530083451,301941.376566049,304288.747012056,300617.293033803,306400.996920065,302582.673176081,300313.452882492,297848.204963928,304738.625295571,305090.167674819,298270.91735225,296685.382662993,300912.122607421,295652.327542109,302768.464034334,299365.803810374,307990.367562157,303894.701506628,307489.718564304,306818.384697087,296527.52872385,305545.380436742,308726.971618731,305072.414300941,303540.65201349,308889.808456339,302657.440455573,298127.883898768,302686.118856375,299692.69069178,300346.932083495,300442.739898056,303214.477833926,297640.973541582,300791.183784578,299105.983366187,301753.329256044,309490.561021444,302963.326119333,302591.757788692,299569.023264346,299825.865601558,300681.831695383,296095.596295935,303595.578516527,300903.123597352,300523.510877497,304827.657291496,302505.044457323,299537.752522669,297700.657515585,304868.720773301,300587.365552506,302342.007606917,303073.249126442,300879.396714036,304619.334386524,302808.457554128,304253.930257589,292918.122715686,298518.073010766,310220.458030018,301012.225677275,294833.333096353,302242.723366554,304398.48841828,305137.892801158,310121.558957702,302096.9674457,300452.510528469,312504.348993478,294606.800860898,302298.368974088,305489.326528924,299168.82961056,291925.709506194,299415.439982301,302975.930590847,303409.162792157,304422.98625545,306326.05866086,306196.825495537,300432.522109772,296471.082143406,307364.622241947,299400.546616273,298930.529863929,301878.022190907,303393.842044453,294675.40550013
"errorsum",304656.585224333,307020.789518479,300150.749205228,296143.485786491,300023.861386553,301514.118527452,299778.595273511,303463.472506409,303873.354810468,296187.173725653,300417.958145802,300717.943784124,297549.42269887,297852.753934425,306084.158601885,298309.967279228,306041.769472619,297779.092826328,303136.195321641,303297.750397249,297062.096854592,306955.243967881,307523.787256251,299251.863476288,301231.017647601,302687.385593997,304067.632038396,305104.825138632,311109.898177529,302174.525391356,301908.12153025,307785.706474813,299309.446967836,299873.832845708,296639.175108102,297573.739768827,296009.276877215,297278.304840176,297002.187466416,303595.846081232,302524.546716492,301057.127611389,302369.363566187,296863.978523295,305429.742712981,302310.709924652,303255.356262566,307425.4576358,300763.19876254,298779.598236922,308925.854108263,302338.036220736,298871.209483745,297682.742641679,300659.793513072,303554.483213586,300934.101828087,301087.570844448,299401.607020849,299990.123821195,304865.448165085,306724.129761144,302986.276085201,314715.939917205,301954.335816607,306462.247207189,304763.691811904,294903.510171594,294398.106034679,297027.435209328,296019.073207985,300578.11293165,298122.08571964,302927.505914846,299304.524890354,301184.032544071,304262.396324134,288180.682128966,298246.713802824,298408.564024352,296715.734588669,296861.906273247,302230.734774695,302605.362518248,296779.950205473,301867.429308793,310757.468390258,301271.722508679,303928.421441178,295463.239709502,293745.984681712,299535.279918671,306879.914373401,302678.488038009,295185.612216485,303060.475267435,301907.599535489,298687.969053016,295599.542378655,298152.293828964
"errorsum",296800.861286559,296981.99809077,307032.780001812,304716.443549487,298308.355546976,301964.766405694,308406.216672426,296997.831635384,300588.922374782,299340.02415033,301190.324410009,303364.626352996,300657.368503893,292110.059304796,305543.497492021,307290.580846669,297481.718199654,296886.221887791,306239.215976322,297268.410024385,304119.925880257,304859.380274348,297414.860922713,301653.37496835,292804.937108151,299832.063708314,301511.033145514,300452.266798376,301362.061038061,298952.731395726,299908.427700611,305311.605065288,306089.632251395,293332.820431254,298705.733965146,302296.266000049,303548.600555184,304390.587733152,299843.762882998,296025.550440954,302515.138787814,304849.195325099,293298.901296208,306622.884335937,299714.592803326,297462.964155398,300163.057587078,298985.023866935,302905.459213657,297203.784736035,310671.078458396,298829.298007331,304504.524114326,306485.427482707,305079.752344393,297699.17342057,298823.843730805,305882.450960853,294236.011803199,313537.122158199,296117.07887074,291323.695200049,308214.52798351,301583.75999606,303358.633412903,302018.711951982,307053.287963375,296716.866341722,303515.316292945,303371.753575957,309812.960890847,300924.907884266,304060.595900421,296180.216235461,300561.523258207,301849.940068549,301928.434179525,310986.576561503,303403.512808107,306197.539436915,308298.245774824,302819.890438152,301646.828509479,299821.537785908,308762.768511888,295081.06709186,305191.136491252,303012.000208125,303682.915183363,296299.03150609,313702.949564753,305673.721715037,303132.189372949,299476.459444664,298261.632173802,302549.366710254,301129.586251033,293465.128276758,297075.399593958,302931.406548266
"errorsum",303129.737520986,301370.762460153,300887.610945168,295847.556957089,298154.637568157,303038.552966031,311184.716836763,295940.38127532,312917.47584509,299856.503531679,305544.863363345,302078.227831169,293927.834662805,301516.758933404,305229.900290511,300461.733683623,297505.486469103,303824.082695702,302117.841467372,303626.127058923,302810.477172936,300884.868730241,309516.875394799,296727.220658694,310156.339439215,294079.898162933,298004.750551068,299111.987132146,302527.930837975,306464.193706878,300407.53031425,304439.980077907,306038.355369375,305636.66388517,304267.150737073,295290.682456256,301060.327881411,295365.86057695,299848.913840002,303724.838269643,304311.435373751,299418.148919306,305817.994309712,301660.343364098,306889.87600668,299245.660359565,303457.354936263,299091.123807767,301690.895413478,298151.901445257,303917.99979504,308740.898189006,303822.583233703,302206.434719046,301912.100508918,302256.134229179,300711.454453756,298138.035064761,301004.637457924,291546.881668614,304054.209435773,294070.222280115,299890.23419411,301999.066747977,298956.780737758,300499.016124304,300114.544077139,301447.841869239,305814.274122375,303223.4572299,303158.899736287,305872.764503887,299611.348781556,300053.280612341,304411.145186632,306622.976697431,298211.392958839,300626.611317833,301911.895052416,304598.658750366,302456.256149846,304110.21631767,305085.307622036,299037.028713329,305509.287283043,298368.929276361,298265.587202336,303301.684874732,294483.375514922,302316.482405032,297485.065096514,299811.707218505,303842.219030861,302539.122875889,297817.020071943,299343.661998474,300868.443178712,303062.738968962,298568.809598228,301935.77212448
"errorsum",294219.361551145,299509.400087285,303994.229283229,302355.841891173,300266.24603695,292640.102646047,302502.154218586,300866.231275545,301390.23868611,303232.353217192,297519.565455032,302866.257567189,297484.367928944,301848.943601545,301296.064904986,301460.647305966,301184.762244283,305769.950939968,295648.919167275,303573.797716033,306695.082832621,302657.167534362,295521.444700349,303043.565164298,295976.215563938,299866.426652282,300048.108592536,298329.041520425,301393.94889034,307177.092953002,301363.704507837,300622.693099596,299648.496054264,302538.49392398,297046.882913635,298668.712105875,295833.357221213,295413.196824924,302572.360466764,298352.079817889,299936.123563479,305823.247741791,302026.179876585,301813.883305417,302166.227491001,298110.311706802,306133.297134469,300412.353853585,289670.393773699,306499.727993322,293861.398377259,300057.000370252,307836.201485722,300862.92040273,305202.110008272,305302.223958925,307305.519366563,303705.32889164,304150.113738014,301107.734426157,293700.769897202,302669.916379512,299960.310452923,302465.615716615,300789.458995212,297488.85618603,297404.371809981,308838.110068968,302429.662456667,297573.787640631,306198.842906605,302261.933242013,306455.566669877,293711.880029842,301415.650303962,305730.768106137,302847.253741177,305952.776075303,297427.228305599,299539.110912437,303720.566716989,306756.589231391,300885.123216823,303507.076256739,296526.264985464,303521.86478188,301498.931857161,300800.941466247,299670.856765734,292954.912291163,300557.002301672,299120.202054471,293851.370711128,298484.265989538,302844.568783822,301614.55117721,306025.097273273,296898.398797716,301021.489950924,299726.15909626
"errorsum",296065.34348683,301163.947081415,311091.708336428,304156.204733315,296857.66813252,298134.249344156,296691.430738988,295575.696092313,298845.565995572,297709.521287627,299080.883922652,299996.652564152,299225.496088029,299909.428134347,302701.425310949,303928.049445927,296871.112351183,301566.61448225,292365.458292854,302871.926738005,302936.435990806,301703.870060619,295439.23839363,302392.559664634,300891.487139846,295095.293458963,299095.671503725,300334.013878798,297032.354907525,300017.703554124,308846.213263026,301856.434811305,299932.351521413,302261.14715993,306333.434120698,292542.481677646,298144.635247749,297489.230697895,297467.301939011,306672.397427421,295212.8982378,303283.211473846,303338.335241272,300840.121144594,303541.410386716,300596.05672037,294585.170854649,297228.600874726,301046.060681262,302347.651576684,304160.241218787,300039.453172453,299110.30125189,301866.633700159,302373.119071752,300675.043399463,298174.699583819,300372.263486255,302918.98419529,295754.511459879,298371.219440559,304086.175712055,305090.193655499,298146.169180862,301026.490507254,301848.146367758,299964.616386392,306845.921333674,305010.826787133,299645.209464527,303209.266059214,300150.144183675,298566.184606692,299194.154961226,307746.848567552,298561.094804555,302277.463672814,303447.79009071,309570.185814722,306047.648495155,297650.083500812,300122.531010284,300755.766091614,304635.074047071,301566.096723219,305673.113628853,305569.988394925,300497.325160495,298391.087124124,304876.291635075,302829.604508076,294582.917071917,306208.913183552,297269.751957784,303670.617552066,299182.65295677,296489.089474775,302199.082861201,306288.792574231,293279.809101545
"errorsum",306524.635377717,296555.588599471,301615.683741129,301559.286109646,303434.542245283,296157.986985578,302181.534747313,297486.104648622,305747.765141458,303272.256081543,309149.38125175,300767.565582043,294121.774379224,293335.029391286,300844.382013336,299462.303773826,299099.550566417,302168.028852709,301713.140006358,302002.872571413,306247.843804488,301120.105667866,300119.792922649,298917.20417227,300713.89609117,306818.66830958,308111.841194689,298748.827625756,305268.311842531,307088.654982503,296891.572310774,305288.016140201,303522.446135443,298461.013973823,291787.202102472,293859.659677924,300033.870835621,296491.217806658,296106.536321191,306115.695164451,300447.873832435,306051.339749685,295025.676116431,305531.811570251,297026.46890959,290135.293105571,304338.927927759,302218.141595677,294826.126635944,306408.432578328,299005.925508073,301168.554318409,298246.607404723,301456.763033598,304243.956485796,305848.934299555,309300.126851255,296806.937015416,301388.35164897,300592.81366791,293865.501372803,300561.715905517,299899.148171673,304102.172999469,301509.5401814,303240.17511601,301633.049808067,308386.420138221,301189.411980379,303888.521981345,304661.780574431,300952.54579568,301331.715048014,299540.744387538,302527.341078032,309000.811944318,304850.731042845,303045.685159098,291724.987587305,299423.497559636,303336.045269665,296249.113470817,295002.255870981,300116.679604107,303689.715772301,302587.628924437,302608.319247229,298890.872278437,299091.982694297,304693.576167403,303409.163553118,304886.501321239,300775.665585057,301440.661438357,303574.260472331,302887.194106604,296563.756132473,298269.924060842,300532.966264866,297926.169686372
"errorsum",296457.261989091,303192.285100894,298845.60029338,301149.935256489,297725.295305512,309280.732191839,298396.963114984,306027.506292601,298390.251617565,301902.0384448,300432.452795831,303417.078336891,301488.365510006,298374.099046389,307265.003138627,295007.100342782,304309.761329469,298180.249757614,303592.985757234,298609.964555978,304342.509477553,306730.502500982,301774.644964745,299845.4067958,298188.181378191,301996.285847676,301466.453564938,294961.569084995,294262.877607278,301350.628426872,313416.549881801,300515.265856871,295242.823378703,296681.458433264,301109.256571834,297648.617382013,301712.24093386,299388.228365649,305859.19022769,306722.212554984,303130.240077278,305261.854942804,302147.710420544,298909.161567401,299395.868963555,301655.052955829,298664.448965082,300957.170127402,299565.77059955,294579.440514013,301240.917649321,305888.243200317,306167.755988087,306853.491557531,289512.21146974,303973.566759582,290123.316702341,295243.152797483,298859.582923796,293117.33819922,305179.687705687,303279.92379842,296124.12552277,306042.510392778,301152.040886201,303235.854654276,306740.449199937,301976.169302632,292682.91033792,295234.302486823,303425.294708366,302577.413621679,292694.808113859,302423.638670048,303199.738711648,297817.623893206,293089.168796451,305953.772461258,309105.830902951,302757.869129834,302385.097378684,303509.591177953,302576.320230663,302276.54533781,298264.757981887,304151.470656075,303968.389231753,303374.74184257,301103.119036679,306509.292359784,307893.054257139,308940.441182828,300844.445513332,298000.471809442,299826.66674987,301512.887079329,298980.975980805,305713.476716367,294679.312282548,299388.59885264
