"graphL1red" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
"1" 0 0.459225076404433 -0.749172909280225 0.515127103642472 -0.7544151763308 0.640131885590882 -0.780648551202941 0.598906371564301 -0.748212202378238 0.0191531521285474 0.0375700152718298 0 0.0198964750351493 0 0.0393791374066704 0 0.0275496591783684 0 0.0470578609936979 0 0 0 0.0103656603231932 0 0.00126585425556908 0 0.0352177996487043 0.130048340896774 0.0750552851032874 0.0167787434768046 0.103385514921959 -0.00314917048654406 -0.00812067104938688 0.0113167849927488 0 0.0326921978105725 0.0690090134965221 0 0 0.0524911268710161 -0.0143240980864263 0.0485036066002284 0 0.0506868078856169 0.0622392118975683 0 0 0 0 0 0 0 0.0264878487658523 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 0.520507776487686 0 0.534105256732715 -0.742825412737104 0.70480550220506 -0.780368105148878 0.641377411245057 -0.761086209245685 0.684093680354864 0.0455184252072342 0 0.0442439269351513 -0.0257739457816614 0.0128073791813475 0 0.027866598939028 0 0.032274007358313 0 0 0.173253721056719 0.0475458372374077 0 0.0272761681341705 0.00835485717813134 0.0257521951832145 0.00400075186593379 0.0354133015275745 0.0668904791718125 0 0 0 0 0.196532948211212 0.0102342349077027 0.0453805710700725 0.0555705654350462 0 0 0.0187793708222757 -0.0232446266478288 0.0749355220547576 0 0.132236794923523 0.0996162759446152 0.0965022171792968 -0.108283277249206 0.0983304234056671 0.0209885506407586 -0.0324897704094819 0.0157707747531157 -0.0169019385623868 0.0571475850874047 -0.00262615341690715 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" -0.759869256656585 0.458662316955684 0 0.514174962319082 -0.764736728263796 0.633646511640772 -0.783889155943851 0.613506930799035 -0.787821965493762 0.0209588468937177 0 0 0 0 0 0.0326529850958808 0 0 0.0541650157180002 0 0.0538211085230792 0 0.0510688061687633 0 0.0558018162820242 0 0.0375453366681107 0.0357542408983855 0.0309991260489319 0 0 0.0979236538348642 0.0996217264871162 0.00316512008520749 0.0550490295268449 0 0 0 0 0.100196832590276 0 0.0816137557841009 0 0.0915963030166925 0.0898727222304376 0 0 0 0 0 0 -0.013188409947111 0.0691466712372882 -0.00916457835951853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 0.523318437136547 -0.748160717680475 0.543313744064261 0 0.665774662399245 -0.767632126214967 0.609870674192679 -0.77725906650675 0.66542286012305 0.0181308536041086 0.00364579858855038 0.0163567790286056 0.00413017755701596 0 0 0.00747100375445314 0.0310073852946219 0.0017816659220411 0.00588737180860114 0 0.185406791014116 0.00392754183311086 0.0121746826460871 0.0085185412182441 0.0291853398790369 0.0133916026985387 0.0195283740848095 0.0207283952477667 0 0.0266521551298888 0 0.0116038296640876 0.0161165882075158 0.0994747570147141 0 0 0.00156126082571851 0 0 0.0791031059805942 0 0.111528782513515 0.0556050258658291 0.166304140582228 0.0727841894671155 0.105675028065297 -0.100880142201428 0.0878920291152223 0.0860268463036875 -0.089155274324081 0.0850353504193237 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" -0.751837031068336 0.532437117429155 -0.74861523535578 0.539347274393914 0 0.676761792542914 -0.764575403738202 0.64493404220428 -0.790822775318679 -0.00241849392661862 0.00569446912903649 -0.0191985913124623 0.00965190123643882 0 0 0 0.036876189687243 0 0.0117609386143302 0.0672164194613404 0 0.0698036519226304 0 0.0644117168489652 0.00761844324551915 0.0684966837844068 0 0 0 0.0128290152925518 0 0.0939849489109237 0.0849575389720702 0 -0.000518159001356018 0.0203510361080251 0.0649699495363962 0 0 0 -0.00971646018880724 0.0205944879424242 0.0329383277341716 0 0 0 0 0 0.00762959568597556 0 0 0 0.0257998169278114 0.0126552601294339 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" 0.569932975589835 -0.746821020249655 0.574398431609036 -0.734172110823409 0.716723294380688 0 0.672206638325661 -0.742101448281757 0.708477958051521 0 0.0329304722507611 0 0.0171113496403061 0 0.0327703549622851 0 0.0572094484780072 0 0.00291453935372185 0 0.146265555374154 0 0 0.00681252536313362 0 0 0 0.0445657761178299 0 0.0680459694133659 0 0.000694961499416119 0 0.126251405597328 0 0.0214130695638912 0 0 0 0 0 0 -0.00688826169388341 0.0568036088815003 0.0240071241803761 0 0.00993929855092841 0 0 0 0 0.0278883187145682 0 0.0450168052721975 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" -0.724312294209589 0.469933732449715 -0.721994132133812 0.492701876583162 -0.706741807957592 0.62885404913419 0 0.58982961312403 -0.722580249335845 0.0202937285353662 0.0331829169698714 0.00262301192176821 0.052443819697046 0 0.0250485296076176 0.00510855391715399 0.0445990790186098 0.0137565283926559 0 0.00302617570842392 0.00306592721554213 0.0222280203321265 0 0.0310121216091923 0 0.029656203092548 0 0 0 0 0 0.0920562810680709 0.105352778945525 0.0156914684858998 0.0275824359708882 0 0 0.0304574990965207 0.0312051507842 0 0 0 -0.00561572697943977 0.0347828751420632 0 0.0868024405924252 -0.0950075514627883 0.0903749335021317 0.0461916854269519 -0.0411013081255388 0.0401103056217577 -0.00446583921800273 0.00134792332490676 -0.0314188320070281 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 0.562411459178325 -0.760118292498866 0.595367138292809 -0.777997256446617 0.727593196185808 -0.776632514345379 0.676769412631246 0 0.725768396162997 0.0756845605552792 0 0.0599636982251123 0 0.0458974966265271 0.0161351395690213 0.0669987746051517 0 0.0641082180456826 0 0 0.133004189408544 0 0 0 0 0 0 0.107962932739132 0.0135374430301657 0.0605531199108844 0.0520368136891119 -0.0551868145492673 -0.0588786738516047 0.147112569848356 0 0.0497239859633554 0 0.0698114537904762 0.0717219735622472 0.00860182734963496 -0.00620425447117594 0.0663992438514334 0.0182060450957418 0.0949792513076541 0.0538658751721495 0.0222319511215819 -0.00592424477796619 0.0153225792158061 0 0 0 0 0.0169413593916122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" -0.710799600706107 0.491623835387534 -0.741494592220583 0.518644650288556 -0.751566380145366 0.647374744680115 -0.74260292556751 0.623977307681916 0 0.0545269500143935 0 0.0274015647989923 0 0.0595206385232275 0 0.0571006972813324 0 0.0305223604190625 0 0.00710101381081279 0 0 0 0 0 0 0 0.0354036628873766 0.0227636738074631 0 0.0727153348700491 0 -0.00217669662781326 0.0256023892488384 0 0.0601086952770884 0.0155515265772651 0.0193155854227424 0.0360213618595152 0.0327146417499374 0 0.0635537050079592 0.0383542797423356 0 0.0437154613109965 0.0142795575894595 -0.0259584196165627 0.0265552239666636 -0.0209096243810169 0.0355483465152028 -0.0203680245695232 0.0829685133216278 0 0.0634413373042331 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 0 0.0271271834723177 0.00165180066500016 0.0301678541033602 0 0.00155447849900745 0 0.0132787981832786 0 0 0.527426127330886 -0.728003629633486 0.449818060369061 -0.725516788053397 0.435540158476697 -0.725898382792252 0.517816284028829 -0.73835384322886 0.0467317370975236 0.0581832143355027 0 0.0386976127478545 0.000770333293270267 0.0635489057499662 0.0170604862854249 0.038577227778663 0.0512071014287193 0 0.00766663593936952 0 0 0.0683801720710295 0.0395693387441095 0 0 0 0.0520910708588402 0 0 0.036620541462757 0 0.00291943710681244 0.0619913060599004 0 0 0 0 0 0.0799992198115629 -0.0291096513791375 0.076677820996248 0.00163569654900436 -0.0377053904298725 0.0396720219648331 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
